address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0x2dfa2d84c56c4030c62bcd09354740329d8fb1a067273b0d96ff0cd40f853713,18183988,2023-09-21T11:35:35.000Z,0x9787d961fa06564a87205ec79a4610ad964588a45f06086ca8ddf30d2899b357,130,328,4902880000000000,True,49028800
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0x8ec56b33bfba46027fdf8b440af4b588e615253d49bbe3e4773a27d9106ff6c6,18183850,2023-09-21T11:07:47.000Z,0x60c07f9ffe9078f76cf6fb871794f31de15ca26d55eee80aa09baee86301bf7d,125,526,223898983800000000,True,2238989838
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0x6dd43ec55504300226bb73f31cc27405ee16445be35375397afe6b2181225071,18183022,2023-09-21T08:20:11.000Z,0x9ed6ba33809e7ac00403c09cb1ed6e73213c6a6c7c0c7b721f3e8621f4786d60,68,118,173562035616565610,True,1735620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0xcb3a667ee24159722713d8af313d9ef62086c0b54ce6fe4d46a138f21aca3d86,18182651,2023-09-21T07:05:23.000Z,0xc5d4f84995dcca030f206f90c54c9238cdc0810fe1f272625e61d192b66a1428,36,175,173562035616565610,True,1735620356.165656
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0xbe03860e1f22d7a163281d3598f335bb8c96687abf17dd127437d30a5e91bd37,18182158,2023-09-21T05:25:11.000Z,0x0da52026d52f16bc760953e27b83e4e3acbd6e9969831ff013fa2d6c6c69f1b7,110,192,681680000000000000000,True,6816800000000
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0x76424e9186e4ad58ce1b75e16f82cb7aee59c37ab5f2962108491995aef9ce24,18182036,2023-09-21T05:00:35.000Z,0xfbf76cefda84c1c28b8dcfce98ee66bb255b2ef0f96b1fbe160c53d406688081,65,198,125823647800000000,True,1258236478
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0xbd4769dbf3b31fdd6afcb6de370ce115d499ea543a470be5e8045977dd83c27f,18181777,2023-09-21T04:08:11.000Z,0xb671404cb805fcb6bae0cb658276b69fcf480c8544605a1cc944501ac8894e79,108,236,681680000000000000000,True,6816800000000
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0x61c8fec882967317264345adf7263470d0ae30784511177a66d58bd02c8f3cc1,18181267,2023-09-21T02:25:47.000Z,0x2e982a9cd2353d63a1cd101d58bde83e5e6bf9ae24833dbdee18768f698fa750,152,240,9833960000000000,True,98339600
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0xd95449791258c03787bc4a12ad045997cd08238acc615fd7b01101f12ee4bc5e,18180907,2023-09-21T01:13:11.000Z,0x8e369b09419dee00616298d4a40defc9bf8fe3f6d911630b79d4d05289a7feca,104,373,113562035616565610,True,1135620356.165656
0xe3c9671b43a4b5848e7661b0e7b624f1948d229e,SILVER,SILVER,,9,0x006f0537ed493f7f84340dc6c417a8381c6b1035,,0x6f335ba55f54e0deb19dfe5df2d469eb3905acf2,,0xa2f086a7e07a7187143e792b3aae082d06fc70993c9758dc37cbb07514bd3b15,18180571,2023-09-21T00:05:59.000Z,0xdb2f4109a06f9780885011af3adf1a7fd465dc9d309bea880d835645c6036270,12,90,1640000000000000,True,1640000
