address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x90aa1ad729e6062ce4b7e5700c494fc06f91c21c,Dgdbuz,Dgdbuz,,8,0xc7fec22dc7c7baae11dd375692acb98144c21154,,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x4e663cafd99ad88cf2dc3ad564778dc3ea50d759d0d189cd1713e63dbbc0f9b8,18185135,2023-09-21T15:26:47.000Z,0x1b14a92e4f150ca69b90d3d08b9edd6edf3c0404c7eb9da5eb2998ee572d13f8,105,512,72310600000000000,True,723106000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x1e5e6730bf3d6a4b5d2cbd8d302d9cd0f98d1bfd84139e5f625cbd00dadd6f3e,18183909,2023-09-21T11:19:35.000Z,0xf352cbe213f4e2611b4d7f6f4585111669595200f47368d4471197eebf97baf6,71,420,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x272e75955a0084269fc92f2283d4693da7d636cff6cfff0d2e513b62b932407b,18181813,2023-09-21T04:15:23.000Z,0x8f8a3acf4ea4930e8f8f72395dab82edbd3fac53d72fa7c951d03f826e531727,113,421,681680000000000000000,True,6816800000000
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://cdn.moralis.io/eth/0xdac17f958d2ee523a2206206994597c13d831ec7.png,6,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x721fb71bc155b0641a70f0b5fdbcf5b7c877458b,,0x384d44bf7753b36fccad65331ab2f83e4bc7bc720cd535b2d99b2db13baea642,18181473,2023-09-21T03:06:59.000Z,0x827172fcd40e816ffe8b9ce1c7236bb905c1aaa3c21cc5564954a6db7184279a,58,158,38492617493,False,38492.617493
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://cdn.moralis.io/eth/0xdac17f958d2ee523a2206206994597c13d831ec7.png,6,0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x5def73384b782a7c241ab33c0cc69e8d583dab9a9ed2d3fc45acb654434b81c9,18181466,2023-09-21T03:05:35.000Z,0xdff06560a2ac3414fe94086d69ea0f80139d1b7ce191d2f30a6e04b36dd457b1,113,436,38492617493,False,38492.617493
0x78a0a62fba6fb21a83fe8a3433d44c73a4017a6f,Open Exchange Token,OX,,18,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x74f33228ced53754d0e3fe7ba92e46abd5b15763,,0x5def73384b782a7c241ab33c0cc69e8d583dab9a9ed2d3fc45acb654434b81c9,18181466,2023-09-21T03:05:35.000Z,0xdff06560a2ac3414fe94086d69ea0f80139d1b7ce191d2f30a6e04b36dd457b1,113,427,1656726589952000000000000,False,1656726.589952
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0xb65dc7e20bbb5e1020694463735ef9239160d44bc392a2999441b14454ab7318,18181252,2023-09-21T02:22:47.000Z,0x3dc81cdac126cba01e11094957e9bdfad10162817cc626d9250540e783d79963,106,709,46293300012345678,True,462933000.1234568
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x721fb71bc155b0641a70f0b5fdbcf5b7c877458b,,0x740651d87bc4cf68161ff526bea2ea9dcb1b7de77a8f13edc612664e6ed70d11,18178303,2023-09-20T16:29:59.000Z,0x1e2ec2ce655dd472509e017119d765c3fdf9f55191e52b041d4d4ed1c3b7d9bd,66,176,34554529881,False,34554.529881
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0xbbfb7c7f363fc18e3d36cd5e180820be1f4506d1d315e1efc33f0b63aee2a79c,18178290,2023-09-20T16:27:23.000Z,0x2e7f58dd6d1e9aa4d7c3ba6c0401021deb23cf27728b1c1340c5b9e0575a3868,60,135,34554529881,False,34554.529881
0x78a0a62fba6fb21a83fe8a3433d44c73a4017a6f,Open Exchange Token,OX,,18,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x74f33228ced53754d0e3fe7ba92e46abd5b15763,,0xbbfb7c7f363fc18e3d36cd5e180820be1f4506d1d315e1efc33f0b63aee2a79c,18178290,2023-09-20T16:27:23.000Z,0x2e7f58dd6d1e9aa4d7c3ba6c0401021deb23cf27728b1c1340c5b9e0575a3868,60,126,1529814000000000000000000,False,1529814
0x78a0a62fba6fb21a83fe8a3433d44c73a4017a6f,Open Exchange Token,OX,,18,0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0xe761934ed815766d90c5acf3b612c9df7e9edf27e7bee15060685b4988f4b2f7,18178094,2023-09-20T15:48:11.000Z,0x171e703abd56b59775e0bcff8a49e8d5c261c6ee1a8f089a6e0c2f7f43eecb72,34,148,1529814003274391280633128,False,1529814.0032743914
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://cdn.moralis.io/eth/0xdac17f958d2ee523a2206206994597c13d831ec7.png,6,0x0ba48b0aea8f86423254b787461ca35c2496f2d0,,0x74f33228ced53754d0e3fe7ba92e46abd5b15763,,0xe761934ed815766d90c5acf3b612c9df7e9edf27e7bee15060685b4988f4b2f7,18178094,2023-09-20T15:48:11.000Z,0x171e703abd56b59775e0bcff8a49e8d5c261c6ee1a8f089a6e0c2f7f43eecb72,34,137,34997210000,False,34997.21
