address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x90aa1ad729e6062ce4b7e5700c494fc06f91c21c,Dgdbuz,Dgdbuz,,8,0xc7fec22dc7c7baae11dd375692acb98144c21154,,0x179318748b758d6c99a851f10f6667c998da9358,,0xf361632fecfc0d6bd2138e775602adf7d890376145bfce829ee7476a9a0a359f,18185139,2023-09-21T15:27:35.000Z,0xe7dd9c4f43f00246e7528c442a08b1efafd3ce6512d794405b6c024002ca5545,152,591,72310600000000000,True,723106000
0x5e27888c10e0489f53a25cd9cc256f672c4c7581,ЕТН...,ЕТН,,15,0x179318748b758d6c99a851f10f6667c998da9358,,0x623b3440c800fdb77bc9024f67de35958913e6a8,,0x47f88fc909f17ebfd3f0d2fff4a6c0ae753055f0966cc5aac203ffa390326c2c,18185039,2023-09-21T15:07:35.000Z,0x92823fd407112860c376a6c0cf83229810758a1210623e22ff7efae2a176d305,24,108,1500000000000000,True,1.5
0xc43a652d9a7a936b6f2c4eb45505a84ea4e50f83,Bang Bang Bang,BBB,,8,0x179318748b758d6c99a851f10f6667c998da9358,,0x01b77b047a128b50ecdda3b1bec7798415ee0e3d,,0x35f38b4078978247b6e771b4baf43ab807e32f075f853d3076c6f33955c966f4,18184930,2023-09-21T14:45:11.000Z,0x5bd98f81c40fba89848681290f9d4ba1dc45e0d01f1a31a436e9471aa784f83d,37,166,453015724503,True,4530.15724503
0xc43a652d9a7a936b6f2c4eb45505a84ea4e50f83,Bang Bang Bang,BBB,,8,0x179318748b758d6c99a851f10f6667c998da9358,,0xc43a652d9a7a936b6f2c4eb45505a84ea4e50f83,,0x35f38b4078978247b6e771b4baf43ab807e32f075f853d3076c6f33955c966f4,18184930,2023-09-21T14:45:11.000Z,0x5bd98f81c40fba89848681290f9d4ba1dc45e0d01f1a31a436e9471aa784f83d,37,165,1812062898012,True,18120.62898012
0xc43a652d9a7a936b6f2c4eb45505a84ea4e50f83,Bang Bang Bang,BBB,,8,0x179318748b758d6c99a851f10f6667c998da9358,,0x973ece051e0184e5c9c1d563fac5ba7b2a1ffede,,0x35f38b4078978247b6e771b4baf43ab807e32f075f853d3076c6f33955c966f4,18184930,2023-09-21T14:45:11.000Z,0x5bd98f81c40fba89848681290f9d4ba1dc45e0d01f1a31a436e9471aa784f83d,37,164,43036493827794,True,430364.93827794
0xe6a000b4c80591082229274712277a58a06f0335,Wapple,WAPPLE,,18,0x179318748b758d6c99a851f10f6667c998da9358,,0x23aad1c2e97aa0eece07f9d15e45a01fefe125f4,,0xa8b75991c80aadaf2f39f796b8a97c2813a4e972e9cfb1c98601c0caee2b5346,18184768,2023-09-21T14:12:35.000Z,0xfc5d89f53646cf62f0c3efcf12e7adcae59f6484f0a18bb7b6d467e0c1ddb5f6,5,27,1369033985011479443944807,True,1369033.9850114796
0xe6a000b4c80591082229274712277a58a06f0335,Wapple,WAPPLE,,18,0x179318748b758d6c99a851f10f6667c998da9358,,0xe6a000b4c80591082229274712277a58a06f0335,,0xa8b75991c80aadaf2f39f796b8a97c2813a4e972e9cfb1c98601c0caee2b5346,18184768,2023-09-21T14:12:35.000Z,0xfc5d89f53646cf62f0c3efcf12e7adcae59f6484f0a18bb7b6d467e0c1ddb5f6,5,26,13828626111227065090351,True,13828.626111227064
0x5e27888c10e0489f53a25cd9cc256f672c4c7581,ЕТН...,ЕТН,,15,0x179318748b758d6c99a851f10f6667c998da9358,,0x623b3440c800fdb77bc9024f67de35958913e6a8,,0x47ceb59805dce698ff740a63c5472c8cec2527850ffb4c91e6ee038cd0dfaf31,18184640,2023-09-21T13:46:47.000Z,0x292b30e6d3a1db969708d9e26ac4cafd2639cc04df8f3d87a97bb3bbf79ec6f4,8,57,2000000000000000,True,2
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x179318748b758d6c99a851f10f6667c998da9358,,0x56bc6c853e019415bad69210e28455986ab66551c9a63b7193b04f8fea27da49,18181810,2023-09-21T04:14:47.000Z,0xeb489fe132226205f685c17d6413c7055ea444b1c28dd8198e9aeecb4d5bbdd4,28,324,681680000000000000000,True,6816800000000
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x179318748b758d6c99a851f10f6667c998da9358,,0x07a7cba16f6134bcc5298820dd28fd7ea6c79601624c73dde8fa47f2ad26b71f,18181510,2023-09-21T03:14:23.000Z,0xcc17bd87bdaaf3db9dadb83ada3b603fa015b4a28a2886be68782114ad852ca6,75,304,303562035616565610,True,3035620356.165656
