address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0xca25ee9e7fd71f15368ad5622cb20848ba9e7b80e8afca6cf09cef27b8dae88c,18183916,2023-09-21T11:21:11.000Z,0x93d8aad224f89c214de388a549e9c68356577dc2f0c14653312f83acf4986ff5,1,4,39866702137,False,39866.702137
0xff836a5821e69066c87e268bc51b849fab94240c,Real Smurf Cat,шайлушай,,18,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x977c5fcf7a552d38adcde4f41025956855497c6d,,0x5ed9ecb58819aff3d1b8875fd13ea503640e4461ec16c10a52adbe58b9a406f1,18183904,2023-09-21T11:18:35.000Z,0x5fd60e6ac98c2abe04ab33b9b5171224867d53f082101fc47ea4fad7cefaffcd,7,64,314084125000000000000000000,False,314084125
0xa256fc255ea0ffa062e048f4712c912ce3562557,𝐔𝐒𝐃 𝐂𝐨𝐢𝐧,𝐔𝐒𝐃𝐂,,18,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x115998465a9121778dfa48f15d5b80ba3d095d8d,,0x46149c3a50876b56545371053bb058b743b001095f4d3df4f486ff803b42323f,18183308,2023-09-21T09:18:11.000Z,0xfd47e69bcb53a4e6358b12b8a1b34394ed577e194d62cd2dda06e051c7ad9d4d,156,280,19002047531000000000000,True,19002.047531
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://cdn.moralis.io/eth/0xdac17f958d2ee523a2206206994597c13d831ec7.png,6,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x1159d26897bd1f4a6dd4f1b747662c8a07595d8d,,0x5bfe20093fa343135b44fe6afb888fdc1ba2ff2e620a8e5bc762f3e4b237fe00,18180702,2023-09-21T00:32:11.000Z,0xb9dd59e259d19baff9d325a2a040b02b41f06cc128e25fab7c2fcca049df2760,24,102,13192904993,False,13192.904993
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x1159d26897bd1f4a6dd4f1b747662c8a07595d8d,,0x282924928644a5f70e087b5e2c20fd6bf2ed37088e46aa5e9cf124080fd3e65c,18180698,2023-09-21T00:31:23.000Z,0x586472a96d3bb6f475d48e5348a8167d78ea7a8312825b96cd6d8f631905ca1c,78,302,19002047531,False,19002.047531
0x5c9c7554ab2b302a0a3e943377acb30e9a70f9f7,Addiction,ADD,,18,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0xe3d4a4b74a1ca2f27bf392267766aa38d1425073,,0x7157efa19a6bfaee46192f8e4ccc302191cd8aa35458229ab377f39f60a3215e,18179866,2023-09-20T21:44:11.000Z,0x32e67761f640d129fe77f4765552a06b002e63377e7c051c1651e5549f99f5ef,147,378,6415680000000000000000,False,6415.68
0x5c9c7554ab2b302a0a3e943377acb30e9a70f9f7,Addiction,ADD,,18,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x5c9c7554ab2b302a0a3e943377acb30e9a70f9f7,,0x7157efa19a6bfaee46192f8e4ccc302191cd8aa35458229ab377f39f60a3215e,18179866,2023-09-20T21:44:11.000Z,0x32e67761f640d129fe77f4765552a06b002e63377e7c051c1651e5549f99f5ef,147,377,267320000000000000000,False,267.32
0xff836a5821e69066c87e268bc51b849fab94240c,Real Smurf Cat,шайлушай,,18,0x977c5fcf7a552d38adcde4f41025956855497c6d,,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x5076fb61ca17d6d65c56fe870e63a38a1fb63af8f8f0352a1dfc8aa2dc8b001d,18175155,2023-09-20T05:55:23.000Z,0x034537a2fb3291f17ba7601df65abd8630cb727d53613cadb7bb4379b2cfe1fa,0,2,152707390630691597785573293,False,152707390.6306916
0xff836a5821e69066c87e268bc51b849fab94240c,Real Smurf Cat,шайлушай,,18,0x977c5fcf7a552d38adcde4f41025956855497c6d,,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x4f6c69d9764995f26f1d43f2aa9b5f2703352e955cfa5071f12063e003418d8c,18175141,2023-09-20T05:52:35.000Z,0x001f63effe3c5f3bf8542a6731c9886a55f831846e257d44d1a0c75409c79032,0,2,161376734899019802621391527,False,161376734.89901978
0x5c9c7554ab2b302a0a3e943377acb30e9a70f9f7,Addiction,ADD,,18,0xe3d4a4b74a1ca2f27bf392267766aa38d1425073,,0x1f955d56bfdc4eb4e97a865173065dd1f9fd29aa,,0x004a19b7d893eb23d682f5e0d9c12f30c769fdd16f02a271af2b21e03df24f64,18172941,2023-09-19T22:29:23.000Z,0xdf846a3a35a6ca39adaa4c377fcc5167038c89b21ecd6e6fa2f93d6e2d27c78c,0,3,3249556334883835507070,False,3249.5563348838355
