address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0xc409cf1a34c839af6bb0a031b1e2765d0be33285,Goldfish,FISH,,18,0xb3d02471616e2e0518d947802a232f33f50de6eb,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x09fc90d4634e5f9fd729b10ae1ac5afdc698ccc108c0106a34a2815720df6630,18185211,2023-09-21T15:42:11.000Z,0x2b0da3e120c386e898339001789fd21a5ded228bef7c37f1398b645ab2ab8f3c,32,30,4744207159888881003863073208,True,4744207159.888881
0xa1db57defd15be659cfbc612a13195adf5b237c6,ManaCoin,MNC,,18,0x76d380ad46e3e676e6980ec51735b9855d7701fe,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x7316a68093c165501c0a308c1fb78e4b58d39216ab6e087de4a01f2521225f6e,18185199,2023-09-21T15:39:47.000Z,0x834248ee205fe4ca780ea83480d257f5e13361c582147156a7836e531947d0c1,15,13,365135954833502839050098,True,365135.9548335028
0x90aa1ad729e6062ce4b7e5700c494fc06f91c21c,Dgdbuz,Dgdbuz,,8,0xc7fec22dc7c7baae11dd375692acb98144c21154,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x1197f749a5216b3308ceb5657e7476ef57d810e8349608b5696c5a5657732156,18185168,2023-09-21T15:33:35.000Z,0x415c70fdd8f1d5e1276cf63d45c0f64d88ed9f53974649f7529a06478dbd61ac,219,769,72310600000000000,True,723106000
0xc409cf1a34c839af6bb0a031b1e2765d0be33285,Goldfish,FISH,,18,0xb3d02471616e2e0518d947802a232f33f50de6eb,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x6837e920b092a5f0f1c513db92ab3cc669779adeb4d4f866524a9985ae09c00e,18185144,2023-09-21T15:28:35.000Z,0xa8238e04a5c416ca2ba2fdb7782e3a207801617c1bd3f205874425cb49956c44,17,141,11012363055173912542882301541,True,11012363055.173912
0xc4fc37388c9f5093a7bce01ba176e0a483410758,The Void,VOID,,8,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x19ed62b5b7be74f5a8126e5cde6787ded62973f5,,0x546b1c23e3585ad16721263733e3c51f9075adcae2107045e60e883a0480ed05,18185142,2023-09-21T15:28:11.000Z,0xcab734a2ef34d9f60d7753938f433c65dfc87ed578b9b1fa1399cfa180bbcca7,48,67,380502273612283249999,True,3805022736122.8325
0x90aa1ad729e6062ce4b7e5700c494fc06f91c21c,Dgdbuz,Dgdbuz,,8,0xc7fec22dc7c7baae11dd375692acb98144c21154,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0xf361632fecfc0d6bd2138e775602adf7d890376145bfce829ee7476a9a0a359f,18185139,2023-09-21T15:27:35.000Z,0xe7dd9c4f43f00246e7528c442a08b1efafd3ce6512d794405b6c024002ca5545,152,625,72310600000000000,True,723106000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x56bc6c853e019415bad69210e28455986ab66551c9a63b7193b04f8fea27da49,18181810,2023-09-21T04:14:47.000Z,0xeb489fe132226205f685c17d6413c7055ea444b1c28dd8198e9aeecb4d5bbdd4,28,358,681680000000000000000,True,6816800000000
0x9fc5e468e3bb3c6e2571370962060e3b160a0014,US Govt,MAFIA TACTICS,,9,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0xd5289e501a380d93ab99d08b8e6cf3686cad004f,,0xf2277f62adc6927e84d8ad76733b48ae6137410ef14897c3d050e9e86d925f62,18181803,2023-09-21T04:13:23.000Z,0xb584654359a7c7cdbdb65bea6cd98a4c5d8e61ccdc691417227c0ab2f036ccf6,13,5,14573847108392795,True,14573847.108392796
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0xb55e94ade2437426cdbb64170cc46f4446a1f17c77c821a6d7d4002139c3036b,18181797,2023-09-21T04:12:11.000Z,0x20619bd5ace3fff11ebc1ee7c79cc53e51a9b15fc2a5e5b8f64a14271c3bb424,174,410,681680000000000000000,True,6816800000000
0xc4fc37388c9f5093a7bce01ba176e0a483410758,The Void,VOID,,8,0x19ed62b5b7be74f5a8126e5cde6787ded62973f5,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x63307cd019361a143329c6bd385b8f4c8e8f5783cc2e0e71a6480ea14e401a2a,18181749,2023-09-21T04:02:35.000Z,0x1744969f61a2259075369e29e7fdf6dcfd5d8c2470a38018adb7962b1c218c28,39,47,380502273612283264858,True,3805022736122.8325
0x46793c5c274b7a6db3367e87e02be182764e7c3e,🐍,🐍,,9,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0x9d36f79d9b09faa830785c558623a01681762284,,0xdb807c8a2432c42be3dc971e9f8ff4d644fa085f4b0850dfdacd2de864e2c933,18181631,2023-09-21T03:38:47.000Z,0x07671abef7f27f60520286e45d9486dcab8028c8848e831b963444d9a7aaabb7,19,135,490294156448400,True,490294.1564484
0x46793c5c274b7a6db3367e87e02be182764e7c3e,🐍,🐍,,9,0x9d36f79d9b09faa830785c558623a01681762284,,0x2d86499a410a9ac2139833ba8d6942b8a8700a7b,,0xac0326192502aa487a3ead98926f71373aa8e9463e5bb119966ac5267dd5abaf,18181624,2023-09-21T03:37:23.000Z,0x0f9599fa42f4c78313a932025eea95322a6cb3ae9945f13ace3000822123b4b0,19,126,490294156448401,True,490294.156448401
