address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x90aa1ad729e6062ce4b7e5700c494fc06f91c21c,Dgdbuz,Dgdbuz,,8,0xc7fec22dc7c7baae11dd375692acb98144c21154,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x4e663cafd99ad88cf2dc3ad564778dc3ea50d759d0d189cd1713e63dbbc0f9b8,18185135,2023-09-21T15:26:47.000Z,0x1b14a92e4f150ca69b90d3d08b9edd6edf3c0404c7eb9da5eb2998ee572d13f8,105,464,72310600000000000,True,723106000
0x5e27e384acbba20982f991893b9970aaf3f43181,Tyrion.finance,TYRION,,18,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x5fe638845642444a9090abfde0dc3c602945a348,,0x379601a342b8cedb3f43eb289d792d5b648233c575537e0665364ac90218ebd5,18184990,2023-09-21T14:57:35.000Z,0x054af7808be870ac62a67b8b589f35951e2af39239d40b79eb4f5ecb1383fd4f,9,52,1671427301404556286674229,False,1671427.3014045563
0x5e27e384acbba20982f991893b9970aaf3f43181,Tyrion.finance,TYRION,,18,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x5e27e384acbba20982f991893b9970aaf3f43181,,0x379601a342b8cedb3f43eb289d792d5b648233c575537e0665364ac90218ebd5,18184990,2023-09-21T14:57:35.000Z,0x054af7808be870ac62a67b8b589f35951e2af39239d40b79eb4f5ecb1383fd4f,9,51,87969857968660857193380,False,87969.85796866086
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x829a9b15a5e1aa59a603d2e3c1d4a2eed0cca48da19564166ca6eda8d2c98589,18184612,2023-09-21T13:41:11.000Z,0x91fca11973706af3291b37919656f8e1aae6b15011050a8263ebbeec71f87931,186,517,1301247368464824729890876,True,1301247.3684648247
0xa4e7d91497d5e66706a41d05951644c276c4f0d3,Invalid Pepe,₱Ɇ₱Ɇ,,9,0xb5ca6ef587ef3a5101751d9845ead2eae0c12b6f,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0xf38c094a689fee82e017459621490be4f89a3cc002503e0fd01d280b0fefa8a8,18184595,2023-09-21T13:37:47.000Z,0x3c42bf26af38b3ed3565b275a23a00203d090442e5b65da1c89c8ba088ffb836,79,200,100000000000000,True,100000
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x1fbf9d0043f33c165fa5dc6b9f1b076567b5424e837aa642492a49349622063e,18184591,2023-09-21T13:36:59.000Z,0x2c6d69aabbd8fa9c8ee21a6a71f48f023eaf0b17c4e0ada2bdc62ebf8f3c2b12,95,825,1289087647368464824729130,True,1289087.6473684649
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x1fbf9d0043f33c165fa5dc6b9f1b076567b5424e837aa642492a49349622063e,18184591,2023-09-21T13:36:59.000Z,0x2c6d69aabbd8fa9c8ee21a6a71f48f023eaf0b17c4e0ada2bdc62ebf8f3c2b12,95,637,1289087647368464824729130,True,1289087.6473684649
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x1fbf9d0043f33c165fa5dc6b9f1b076567b5424e837aa642492a49349622063e,18184591,2023-09-21T13:36:59.000Z,0x2c6d69aabbd8fa9c8ee21a6a71f48f023eaf0b17c4e0ada2bdc62ebf8f3c2b12,95,341,1289087647368464824729130,True,1289087.6473684649
0x22bddc528d8035afc38402160bfd9b1d1cf03320,Decentral Wings,WINGS,,9,0x28db124b211c8e613dd0f0829f4166236031e474,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x90e26cc84549b1f9b789bdfec3625209ff95245f18cf505ec785efd56874e400,18184044,2023-09-21T11:46:59.000Z,0x152c137f226e37d65d9c7f3c7b10280b24f3eb4848fc245cf259e0bc57dba123,105,224,67906574955778127,True,67906574.95577812
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0xbb934fde9fc75f54adcda13c1359b764f9ba465bd82217fdfb0b3a8ea0484938,18184002,2023-09-21T11:38:23.000Z,0x78415044f2b494c2feec5232286c68340996de0750e548f6aba9e489b9cdc6dc,119,324,4902880000000000,True,49028800
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x1e5e6730bf3d6a4b5d2cbd8d302d9cd0f98d1bfd84139e5f625cbd00dadd6f3e,18183909,2023-09-21T11:19:35.000Z,0xf352cbe213f4e2611b4d7f6f4585111669595200f47368d4471197eebf97baf6,71,372,681680000000000000000,True,6816800000000
0x22bddc528d8035afc38402160bfd9b1d1cf03320,Decentral Wings,WINGS,,9,0x28db124b211c8e613dd0f0829f4166236031e474,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x75ea860bc54083e84de742d39b6a16443510b470897b47fed8004e80c2fd3811,18183750,2023-09-21T10:47:35.000Z,0xc83a61837e7ac89d023ce11ae1040cadff56aa0969c753684def7f6c628ff304,79,101,5000000000000000,True,5000000
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0x95da42f2061f9983452dd323babe8ed056df2fe37be0abfa62e96958f1b84406,18183127,2023-09-21T08:41:23.000Z,0xc3eba6cb767cc1c81f2e94c62f30ee0da5e230a205fbfef5bb0b16c0f467855a,110,369,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x303425052e462dd0f3044aee17e1f5be9c7de783,,0xa794b3af7fc2b5ed84ad560342b2d9e28af33624191fd7ef3c2cdda105c1249c,18183093,2023-09-21T08:34:23.000Z,0xf0293d7a61227fcaaf67fda14a9f9afbcf49f266d63dbbcf3b98a5ffe2bebaff,68,352,465010964000000000,True,4650109640
