address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x829a9b15a5e1aa59a603d2e3c1d4a2eed0cca48da19564166ca6eda8d2c98589,18184612,2023-09-21T13:41:11.000Z,0x91fca11973706af3291b37919656f8e1aae6b15011050a8263ebbeec71f87931,186,521,1301247368464824729890876,True,1301247.3684648247
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x1367358e578ab8795aa57872e4d307b8a301236d7cb012e868e8eb04e7001adf,18182846,2023-09-21T07:44:47.000Z,0x3747769d81ea23f1816a24ce4f3b001d046d5f2bfe028188f5ee952d8c257757,86,215,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xddd01d6320de864934f61de0eb8e9236a60f633db0db6558ffdd08ba8ae36abc,18182837,2023-09-21T07:42:59.000Z,0x751ce600eeba4229c78d171010d440a97134aba9c0339ed1342d736c24bf14be,104,266,465010964000000000,True,4650109640
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x264a2514758a980eef242790790e42fcb89860031ffc30782abea1d1a8c1fbff,18182636,2023-09-21T07:02:23.000Z,0x9c43feb2207c14bc21177fb66851ded643190e122309b02f3f693f24656314fc,21,99,173562035616565610,True,1735620356.165656
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xee1cfda986a682e577c159086c8fe3e25f9915628a4cda0a5bf8a2aa97679555,18182134,2023-09-21T05:20:23.000Z,0x39bdd525a0e3859208fda695c699a8219f6afb6ed350c596b3d480171934ff90,83,392,4902880000000000,True,49028800
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xee1cfda986a682e577c159086c8fe3e25f9915628a4cda0a5bf8a2aa97679555,18182134,2023-09-21T05:20:23.000Z,0x6c25a9e157c11adc96ec4a2783c928a9755b65f46c54937861494cecaca58e08,72,202,165823647800000000,True,1658236478
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xeba45e345e0cd5710bf41bdf166cd8f8c33f7a868c6eeacdf611d471b7aad384,18182125,2023-09-21T05:18:35.000Z,0xdb70b62dc2800f747c59018d713d0476fdfb4f350e597c856e056654ce0b67bd,73,302,165823647800000000,True,1658236478
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x7c1a106daaf2a1d224f74ee22d3d8e1f17523b68fbdf49be120b9e86dd5bcc79,18181895,2023-09-21T04:31:47.000Z,0x44d819e063e8b737f2723d5591a46f07fbdacbd1ed88d3ad905c5b68b2968479,37,616,253562035616565610,True,2535620356.165656
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x90351609df5d78fe3b447902f6505b2cce0d59b924643a0fe83b2acadc5e8c6a,18181835,2023-09-21T04:19:47.000Z,0x3cc708c055e09de4202ea6040e8bf1bc29aee7b7abc0a16ab1f15f63337a3aed,71,287,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xa3dd84e6b362735be0206d3c370faf94fe4fef8d0e5842c059ab6393b597b50c,18181834,2023-09-21T04:19:35.000Z,0xff909b002faf61928e5b51679306db3a0437f0391c66bebacdaf3c3988b9fb1f,52,198,681680000000000000000,True,6816800000000
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x790a1ee53f09c0c6ae0d23d3a9535e1705ad8d7a122c2661bd2d3f1091674040,18181574,2023-09-21T03:27:23.000Z,0xc5b592fe9bcf56814fea0027c95e35073715d6a82429eac3c8255cd54d1a36b6,107,519,253562035616565610,True,2535620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x3b36b98c4e6769cd99d29f0748a6d7d6851dab011ef41db3d4e4abb2e9f6fe89,18181454,2023-09-21T03:03:11.000Z,0xc4e21612a7cc1401ec20859501647350239184ce4135a8a972a1869852449506,88,365,383562035616565610,True,3835620356.165656
0x7d8a7ef8f19d2c253ee93bbf19f7313650b289bf,Pilgrim,PILG,,18,0x79e08f08dd1c5bfdbfdb77cf73a5e928c1802897,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x8234aa63b57e5c5dc635dc9f8e53c893646da96a1a7352efd9eea5b082c4ee63,18181441,2023-09-21T03:00:35.000Z,0x60965709c73d1ed076de5fca7a8c5c66072418d4b117c0c7641457cc4e7d0ae0,27,225,13000000000000000000000000,True,13000000
0xff836a5821e69066c87e268bc51b849fab94240c,Real Smurf Cat,шайлушай,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x977c5fcf7a552d38adcde4f41025956855497c6d,,0x025506d87961492d1b1d7763caa7ec34dc1bcb2345952925f80937726bd90a02,18181342,2023-09-21T02:40:47.000Z,0xc90a8c0462dc917d8d19002ba90f7a50d9b207193e3a36a2dd971ee0e9f88b0e,5,40,287889269072312438897968480,False,287889269.0723124
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x1ab27ba06adea401b8d44d7b667e2717bff43c1cd47b76823fe9b17c3797376e,18181295,2023-09-21T02:31:23.000Z,0xdc7b073a48d2de7c52e2af2c7204153b4f926313850773fde41882d55d9f143e,95,266,9833960000000000,True,98339600
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x2361c912bd6d0d758dfbde35648466c37e4bf6fe4494f1b6ecc1b543df7d1dbc,18181017,2023-09-21T01:35:23.000Z,0xc90009d3fd74c5ed1c93c950dc8b1877e1b0f67b1cfcc62ef71c2a38883b48e2,103,332,46293300012345678,True,462933000.1234568
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x02c5fcf748343bedd8355d3cec64cc396350d5e455158c3d1ec799b9a44b9989,18181008,2023-09-21T01:33:35.000Z,0x3bde8a566d98e40d6f5206b32ea4759898969bc07123b0b4febfcde632543b63,79,243,46293300012345678,True,462933000.1234568
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x6e5d3ec97e4441865bd0a0e20c78b1451a9c0d18f69946e9f1ceaf606d31f563,18180899,2023-09-21T01:11:35.000Z,0x388f8473e1c9b8b03e07f833431a6769f4bd0404aac3c97318bdc57f7c9e93bd,76,215,113562035616565610,True,1135620356.165656
0x089453742936dd35134383aee9d78bee63a69b01,GOLD,GOLD,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x089453742936dd35134383aee9d78bee63a69b01,,0xf849bda757dbdaf7b20f8cfb52ae08dc857a63a1c6e8972365238e3f71957998,18180895,2023-09-21T01:10:47.000Z,0x2a55d6eb35fab1e713c1e94869f9b4a842a2f0367f438fdd2e6e86e3a2df02bf,10,57,3464454806721556092887,True,3464.454806721556
0x089453742936dd35134383aee9d78bee63a69b01,GOLD,GOLD,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x0a86421ee3a48fa6a2e1b7775860b39d96e1453a,,0xf849bda757dbdaf7b20f8cfb52ae08dc857a63a1c6e8972365238e3f71957998,18180895,2023-09-21T01:10:47.000Z,0x2a55d6eb35fab1e713c1e94869f9b4a842a2f0367f438fdd2e6e86e3a2df02bf,10,56,31180093260494004835986,True,31180.093260494006
0x089453742936dd35134383aee9d78bee63a69b01,GOLD,GOLD,,18,0x0a86421ee3a48fa6a2e1b7775860b39d96e1453a,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x99cdd90b562308c42a61ea7dd623f0b0526c7d608e95b5ccf82ff7cb91b743fb,18180663,2023-09-21T00:24:23.000Z,0x29d5a18dd617fa0f1ea0d94d847e0c50bc3da51be33c0d403d744b7b9a3b840d,91,236,34644548067215560928873,True,34644.54806721556
0xff0679b451d5ce3835acadb8cbbbb15bf85e4283,Candle,WAX,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x1292ebab5cf026c20a355faac7f8ea9b87f0954a,,0xc6316ae5c1633bb632d26ba5e8f167f32d00a8467420ce75483b8abc10513c29,18179442,2023-09-20T20:18:59.000Z,0xbafb8e691e38fe414180f1a572518272c9fbb0c0ad1f7c44be4707d7c5566a26,0,20,1738002903168507443953800,True,1738002.9031685074
0xff0679b451d5ce3835acadb8cbbbb15bf85e4283,Candle,WAX,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xff0679b451d5ce3835acadb8cbbbb15bf85e4283,,0xc6316ae5c1633bb632d26ba5e8f167f32d00a8467420ce75483b8abc10513c29,18179442,2023-09-20T20:18:59.000Z,0xbafb8e691e38fe414180f1a572518272c9fbb0c0ad1f7c44be4707d7c5566a26,0,19,91473837008868812839673,True,91473.83700886881
0xff0679b451d5ce3835acadb8cbbbb15bf85e4283,Candle,WAX,,18,0x1292ebab5cf026c20a355faac7f8ea9b87f0954a,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xaae3d418afd5e118157c8539b172e07022cd49cb782615bb8d01a84091953cc0,18179396,2023-09-20T20:09:47.000Z,0xf652d473eb2f34e9f24735d193d0cdd33464cc8c1cac81fc93399f1a2d568ba6,0,3,718733976733582418354207,True,718733.9767335823
0xff0679b451d5ce3835acadb8cbbbb15bf85e4283,Candle,WAX,,18,0x1292ebab5cf026c20a355faac7f8ea9b87f0954a,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x3f135d4b8e7083b8344fae09711571accbdf96a38a7bbd14d6e7e4f635b725d3,18179389,2023-09-20T20:08:11.000Z,0x28d1f1fc7c9d806b768d9b72e4301565d1d25d19b971d9af9e90ad63ad8513b4,0,3,1110742763443793838439266,True,1110742.7634437939
0x93cc8ad02b2fdb5d3e6c0f6c56251a38324668b7,rizz lord,WAAAAT,,9,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x4bde6800bf2df6c3ad3e0ef1a8537dcc9a63789b,,0x878d873fabc678480d0ba61fb1562081aa47647dc7bc31a70d0d5cf24af85b01,18178281,2023-09-20T16:25:35.000Z,0xddc473e58fa8d102b0bb9ed47639de519e6bd7bfe5a61a4f910941cdea53c085,5,61,1614883462462849,True,1614883.462462849
0x93cc8ad02b2fdb5d3e6c0f6c56251a38324668b7,rizz lord,WAAAAT,,9,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x93cc8ad02b2fdb5d3e6c0f6c56251a38324668b7,,0x878d873fabc678480d0ba61fb1562081aa47647dc7bc31a70d0d5cf24af85b01,18178281,2023-09-20T16:25:35.000Z,0xddc473e58fa8d102b0bb9ed47639de519e6bd7bfe5a61a4f910941cdea53c085,5,60,16311954166291,True,16311.954166291
0xd33830fcc5e434dbb4eff9d5348d74ee2cbd505f,PEPEP,PEPEP,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x683d52944db48f6c73e0d5270ad186a72b0dd4fd,,0x88addffde49af73f002f3a9982151d38caf0e5f14ee0c1c7ec0973d7b5e81939,18178280,2023-09-20T16:25:23.000Z,0x776efec9fa7f31541b850ea291325ac464e6151253038a6bfb38ece4929a5973,9,70,2089756952892992477599931661673,True,2089756952892.9924
0xd33830fcc5e434dbb4eff9d5348d74ee2cbd505f,PEPEP,PEPEP,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xd33830fcc5e434dbb4eff9d5348d74ee2cbd505f,,0x88addffde49af73f002f3a9982151d38caf0e5f14ee0c1c7ec0973d7b5e81939,18178280,2023-09-20T16:25:23.000Z,0x776efec9fa7f31541b850ea291325ac464e6151253038a6bfb38ece4929a5973,9,69,21108656089828206844443754158,True,21108656089.82821
0xd33830fcc5e434dbb4eff9d5348d74ee2cbd505f,PEPEP,PEPEP,,18,0x683d52944db48f6c73e0d5270ad186a72b0dd4fd,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x13bdf76e6ce71bb9caaee63cf71886667183131c8433ce2f237656608a2679a9,18178157,2023-09-20T16:00:47.000Z,0x0db51c06cb4fec5fd918d73f4a41bf26bcd73410d52b34ee1f36151e4267c021,7,52,2111076716654486133057681183949,True,2111076716654.486
0x93cc8ad02b2fdb5d3e6c0f6c56251a38324668b7,rizz lord,WAAAAT,,9,0x4bde6800bf2df6c3ad3e0ef1a8537dcc9a63789b,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x169c2aef1d2d0d25315064b435f6c09adaf7301ae46dbd46c3ea7e56afe8f234,18178020,2023-09-20T15:33:23.000Z,0x9e3061ffd7015c92f924b81cd3c4f893dd59dd89f751455455a1645466cf5eb1,0,3,1631195416629140,True,1631195.41662914
0xffd822149fa6749176c7a1424e71a417f26189c8,nothing,thing,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x6f1d9f3ac86eef34d1e3586208b1a6e619d915c3,,0x377bde8c7ad7cb68607bbe1f9277cf9def35bc819e66da165d06080a426795fb,18177928,2023-09-20T15:14:59.000Z,0x20009b50b7994d5398219c7b9298a47a35fd66bf104d8b39361d7d2124aba37b,1,6,14525804209378284375205450404,False,14525804209.378284
0x4a500ed6add5994569e66426588168705fcc9767,BitBoy Fund,BITBOY,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xa802e152244c6ec47f9a0337f4e62e47b6d6a2d0,,0xb8d9940ea36e6a6a14af8354d041d046b1fb4686137ac15f55810ad498f19a27,18177793,2023-09-20T14:47:47.000Z,0xdddead4e83653f24ab9e1e04f9c94788c54c226c3f0cfa6ac24b1e8cf9232185,0,1,708638178425295787754372,True,708638.1784252959
0x4a500ed6add5994569e66426588168705fcc9767,BitBoy Fund,BITBOY,,18,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x4a500ed6add5994569e66426588168705fcc9767,,0xb8d9940ea36e6a6a14af8354d041d046b1fb4686137ac15f55810ad498f19a27,18177793,2023-09-20T14:47:47.000Z,0xdddead4e83653f24ab9e1e04f9c94788c54c226c3f0cfa6ac24b1e8cf9232185,0,0,21916644693565849105805,True,21916.644693565846
0x648bc2845e28091298360319d249cce7f8452b43,KUWIK,KUWIK,,8,0x64fe733745345747c7b815e387925deee76ba611,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x24e46122b04590189b429aa7456104b545096362e47c56c134227f2b2183e23b,18177491,2023-09-20T13:46:59.000Z,0x36fcf1bd1bea3fb7323b6365a989b69c60dc2ef365d7e8dca6ffade7846d039a,166,412,65782431900000000,True,657824319
0x648bc2845e28091298360319d249cce7f8452b43,KUWIK,KUWIK,,8,0x64fe733745345747c7b815e387925deee76ba611,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x25b608e24d8486d585c938e1ab7d9557a4cfc0d406b5e76932badcd6a744905f,18177484,2023-09-20T13:45:23.000Z,0x8b120210caf1d2057a9d7c1247ac88a75a4fdea1094c35a1d2986343881d0279,150,340,65782431900000000,True,657824319
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x89f06487cdb1473e98a9a29eb1ed0b145f1d011c0b601d8a1b3fa5975bdece04,18177028,2023-09-20T12:13:47.000Z,0xbceae4176061ed5c94223e6d06959c75be6ab24c23677168e01c3284a9b5b571,126,221,133562035616565610,True,1335620356.165656
0x4a500ed6add5994569e66426588168705fcc9767,BitBoy Fund,BITBOY,,18,0xa802e152244c6ec47f9a0337f4e62e47b6d6a2d0,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x134c52776a9e1858e77a56a18d52d4726519f347d3e934e29eacfb39d2af25e7,18175532,2023-09-20T07:11:59.000Z,0x6bf4d27cf1dcef51043fb580df1d539774c670986a8ede471bb93864f7c05541,0,3,730554823118861636860177,True,730554.8231188616
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xbcc0dc069a8c0d904e234ead7fb9dad05a27f37fd1b47b83660944de93e6cad3,18175435,2023-09-20T06:52:35.000Z,0x2a4012bb4ed8d9134b1daa8b2285061fe0aaafb75872f52d5df6efdf1ae4a2c9,88,243,353562035616565610,True,3535620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x207569613f78d298ebd072c1f5c58f76c0c44211ddbf14fe90a6f20f76029842,18175412,2023-09-20T06:47:59.000Z,0x464623d7c7210af9c94f711161ddf244ed38cbe18760116641a63479c846fab9,144,724,353562035616565610,True,3535620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x948dfa1e5ed319a6841e0e24ce2a90c4e07d5c9fad96b269e4bf3f64906c26ec,18175401,2023-09-20T06:45:47.000Z,0xffe9936070095a625a24f6f07020b5da159de5c4cb02dc26733056ef12bbdbff,122,478,383562035616565610,True,3835620356.165656
0xab9e8c9369b7db7b5571f6f15605ed25fb967cb5,BABYAPX,BABYAPX,,8,0xe60ffe1d7ccf277d745c944fa21b1cb17d99f028,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x06ed40c7917f2b80fa3e5251f9278af55e0242e97a496a023eaabf2c171bb99c,18175343,2023-09-20T06:33:23.000Z,0x704e12a307214f0026b6424e2fa513b74a809f07ada7b1bf08535d7a703e664e,134,281,17007188865600000,True,170071888.656
0xab9e8c9369b7db7b5571f6f15605ed25fb967cb5,BABYAPX,BABYAPX,,8,0xe60ffe1d7ccf277d745c944fa21b1cb17d99f028,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x1143aa1d7b07fdae1d48cefb4478ed404fbb09c8d88652abe10e6bc6a6af3738,18175341,2023-09-20T06:32:59.000Z,0x346c5e0b3c5b0d0798ae90c10a397c1933d9a44a9301c3c0ffe61ad45a5c6cf2,120,377,17007188865600000,True,170071888.656
0xff65a381801fbb2b51e573a4941e2ceef5cabd4b,KITTEN,KITTEN,,8,0x3ffc4a75fb117c6230703c24a9fb95cb274d370b,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0xb007757a09295ab80c9f5c6baf7da330d363a13a3e724b09255263c868e8db44,18175051,2023-09-20T05:34:11.000Z,0x06445067140079db29501e196d18261487e180e784bf8bee3883f6fe7b496e2c,77,254,261765814300000000,True,2617658143
0xff65a381801fbb2b51e573a4941e2ceef5cabd4b,KITTEN,KITTEN,,8,0x3ffc4a75fb117c6230703c24a9fb95cb274d370b,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x49eb91ebe2a24086b2e263c11b14de71adb95842878df8b98d4a3eb36bd7be64,18175036,2023-09-20T05:31:11.000Z,0x23278b268629782c8992c7c7e3101e70c186f04bc30924cf54804203957d199d,97,250,261765814300000000,True,2617658143
0xfe58335ea6b4a3f89d9ab7aae1e22386c277134d,DOBOT,DOBOT,,8,0xcf706029c7af07d5830b8d71ddfd5bca4d40c3fe,,0x340ba2bf7ac31f01b03a08720a1366b00658021b,,0x0ab7c504874e1f01c66fc8611a87679d17ea448d5ca946af134efa7fe85ae4fc,18174713,2023-09-20T04:26:23.000Z,0xa5e12930cd14a0413adb2ea597107a5a50be07fc0d99ea9ea069e5a536f1cd57,110,352,243562035616565610,True,2435620356.165656
