address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x6c96b11eae3ab116593dbca01c75145a463b5d4eb7167c1c6ba231b6280954d2,18184554,2023-09-21T13:29:35.000Z,0x432885da9e3d3a4018012f1af5ae3bfe63c0553fbaed6c20adae7ff696cf5070,5,37,28499015819,False,28499.015819
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x4d4700a9448994a77647b7827e25a5b04dd2de41f2934274070a1429d26721e7,18181364,2023-09-21T02:45:11.000Z,0x3dedd7d412214a8fb1b7ad0e39d2b6f3304d48cf4b2ebed8eff52f61f5e1bb5c,132,388,9833960000000000,True,98339600
0x1ebb7e40c24eb100b68d1289ec2ac130f66eb77d,FEYE,FEYE,,8,0xc824b257b7526e7355ae2b958eb43024bafd010c,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x9a153201cd7aec9845ac84d873a39099afd0b9810eb40226309ef6b0cd5b0dd9,18152701,2023-09-17T02:04:23.000Z,0xbd3d572f54d3da94ee3d7f6fc0acf0f7d126d37502ed993f37da90c85f0d120e,79,373,183387000000000,True,1833870
0x562e12e1e792643d168c1fa01c1b7198a0f83c9f,Bookiebot,BB,,18,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0xc19a07ac4ea52420039e2d6762299462d922a65c,,0xb7611e95b80f6ce554923f40809ac150a03e2bf34648399c8dadca3a68121e77,18152471,2023-09-17T01:16:11.000Z,0xb3f75d2c647afc487d54931822881ce5a2ad51f67499e2c73126bec8a4a89c75,74,251,1382273766362834191271,False,1382.2737663628343
0x562e12e1e792643d168c1fa01c1b7198a0f83c9f,Bookiebot,BB,,18,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x562e12e1e792643d168c1fa01c1b7198a0f83c9f,,0xb7611e95b80f6ce554923f40809ac150a03e2bf34648399c8dadca3a68121e77,18152471,2023-09-17T01:16:11.000Z,0xb3f75d2c647afc487d54931822881ce5a2ad51f67499e2c73126bec8a4a89c75,74,250,72751250861201799540,False,72.7512508612018
0x38e68a37e401f7271568cecaac63c6b1e19130b4,Banana,BANANA,,18,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x43de4318b6eb91a7cf37975dbb574396a7b5b5c6,,0x21358bc0f9e306a3c693d7aebe96a32527f9932099fdcc20ba1be75074044f25,18152468,2023-09-17T01:15:35.000Z,0x8b93c9d0bb75bb3129b2bc0f31494d726bad6098a96e371eb187aa4d0cff15bf,79,610,384000000000000000000,False,384
0x38e68a37e401f7271568cecaac63c6b1e19130b4,Banana,BANANA,,18,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x38e68a37e401f7271568cecaac63c6b1e19130b4,,0x21358bc0f9e306a3c693d7aebe96a32527f9932099fdcc20ba1be75074044f25,18152468,2023-09-17T01:15:35.000Z,0x8b93c9d0bb75bb3129b2bc0f31494d726bad6098a96e371eb187aa4d0cff15bf,79,609,16000000000000000000,False,16
0x1ebb7e40c24eb100b68d1289ec2ac130f66eb77d,FEYE,FEYE,,8,0xc824b257b7526e7355ae2b958eb43024bafd010c,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x540d111cb2b2696cd0918810538f684fad32f5fe3f7499dd5b4b5f60fd81abb0,18149340,2023-09-16T14:37:59.000Z,0xf553bb9524e13467a1987ee01cc6b40c836f5e177ffa413021eaa14bdaff8e02,101,387,286582000000000,True,2865820
0x1ebb7e40c24eb100b68d1289ec2ac130f66eb77d,FEYE,FEYE,,8,0xc824b257b7526e7355ae2b958eb43024bafd010c,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x619044bd9025c4c0322cdcdeb89d317ed3fe25e81c090f25079083ca0da946ed,18147107,2023-09-16T07:02:47.000Z,0x052bd7da21f89637cfdf1300c0b030e93eaa2dc0c7a5dbf2c20e466562c3a9c3,93,388,1256140000000000,True,12561400
0xae8627a4b3ec2c79c0c2971369482f004165a70b,Baconator,BCNTR,,18,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x1a74897e521912c5d64512f7416b15991d4b7cbd,,0x2e604e700974a72b40efcc3d067e6c4d99f091da0ec23557d314ab98aef89a94,18146862,2023-09-16T06:12:47.000Z,0x54a3fcaa5239648c51cdd58623ce2557b2bc8ab64f76b85033ee775488864fde,54,169,1309760366079011970917137,True,1309760.366079012
0x64df3aab3b21cc275bb76c4a581cf8b726478ee0,Cramer Coin,CRAMER,,18,0x1f962d6d920e7f48afb839d077bb1bca77e0cbd0,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x2e604e700974a72b40efcc3d067e6c4d99f091da0ec23557d314ab98aef89a94,18146862,2023-09-16T06:12:47.000Z,0x54a3fcaa5239648c51cdd58623ce2557b2bc8ab64f76b85033ee775488864fde,54,168,1016820926058330302684,False,1016.8209260583303
0xae8627a4b3ec2c79c0c2971369482f004165a70b,Baconator,BCNTR,,18,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0xae8627a4b3ec2c79c0c2971369482f004165a70b,,0x2e604e700974a72b40efcc3d067e6c4d99f091da0ec23557d314ab98aef89a94,18146862,2023-09-16T06:12:47.000Z,0x54a3fcaa5239648c51cdd58623ce2557b2bc8ab64f76b85033ee775488864fde,54,167,68934756109421682679849,True,68934.75610942168
0x1ebb7e40c24eb100b68d1289ec2ac130f66eb77d,FEYE,FEYE,,8,0xc824b257b7526e7355ae2b958eb43024bafd010c,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x2e83de503933f9c2142d0a4335243ed3c5c6dfae748ed2b4f1a7e5eb20ba1e91,18145878,2023-09-16T02:53:59.000Z,0x13ce3ba5a546abc536504c98ca989a57840bed96fba810a79ea5053079fe3c1f,78,316,1256140000000000,True,12561400
0x0000000000a39bb272e79075ade125fd351887ac,Blur Pool,,,18,0x8c1a41e4ef75e5c91ed335d1928c308bd30bba00,,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x12415f594cc03550e7443bf8a62d21508f7cae277cb7c100f12df01d734187a1,18144667,2023-09-15T22:48:11.000Z,0x3f7e087c45b5e553fdca469eb651e6921dd0bd7091e7cf0ff28b6e6b12b8a7a6,111,224,189050000000000000,True,0.18905
0x4de86885a8210ab7f77922c7a06e7875aee9d1f1,Hedz Tales,HEDZ,,9,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0xee78d340dfcfdad663945eaad726f11dfe7642d6,,0x3b75fec71e61d24c46839427d6eef3a96b6d1bb761d8c6cb63e9797e8a493416,18143419,2023-09-15T18:34:59.000Z,0x92b73614dc5e4e8fddd152e38131d6e5b633d2ea343c84af02dba640740a7004,111,452,3853600281615,True,3853.600281615
0x4de86885a8210ab7f77922c7a06e7875aee9d1f1,Hedz Tales,HEDZ,,9,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,,0x4de86885a8210ab7f77922c7a06e7875aee9d1f1,,0x3b75fec71e61d24c46839427d6eef3a96b6d1bb761d8c6cb63e9797e8a493416,18143419,2023-09-15T18:34:59.000Z,0x92b73614dc5e4e8fddd152e38131d6e5b633d2ea343c84af02dba640740a7004,111,451,78644903706,True,78.644903706
