address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x90aa1ad729e6062ce4b7e5700c494fc06f91c21c,Dgdbuz,Dgdbuz,,8,0xc7fec22dc7c7baae11dd375692acb98144c21154,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x4e663cafd99ad88cf2dc3ad564778dc3ea50d759d0d189cd1713e63dbbc0f9b8,18185135,2023-09-21T15:26:47.000Z,0x1b14a92e4f150ca69b90d3d08b9edd6edf3c0404c7eb9da5eb2998ee572d13f8,105,472,72310600000000000,True,723106000
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x9d4d1250a05c962a0b79ab166670d69e9875739ffdba7ebc467372ba1b68704e,18184592,2023-09-21T13:37:11.000Z,0x9224d59ae22f5a6cd97abe0cf0bc8254716378802a6383edc3badb0850fa2b94,133,508,1289087647368464824729130,True,1289087.6473684649
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x461e502b42524eeef352ce6edab9858c4586df49c37d996421117d399d493203,18183998,2023-09-21T11:37:35.000Z,0x9f862742d8f43bef791e58b62831b8c5637b75ffbe158418c195e8639c289b69,101,310,4902880000000000,True,49028800
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x1e5e6730bf3d6a4b5d2cbd8d302d9cd0f98d1bfd84139e5f625cbd00dadd6f3e,18183909,2023-09-21T11:19:35.000Z,0xf352cbe213f4e2611b4d7f6f4585111669595200f47368d4471197eebf97baf6,71,380,681680000000000000000,True,6816800000000
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x13c89d244a2b9f3070e5205fcc18cf5b76aaec31359a70f7aa6f040904feb6ac,18183209,2023-09-21T08:57:47.000Z,0x903b51802b9be5ecd90b216778a76ad88e1b515f59b6ac301cae14f22057a24f,175,304,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x3c9fa733dea91adf305df68e1aa3dee9f694e213a77ee32692cf1d369106cbb7,18182950,2023-09-21T08:05:47.000Z,0x7abdc5f4a18e6b058ce1d2ea3570065fa207d2dcb12c97d0760d5678b7c7715c,160,534,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x385757003f82ab0e4ce66cb554cd7e55dba080687161bbb9a28565e1278842e6,18182796,2023-09-21T07:34:47.000Z,0xfce27d0e9e547641086b2018fe1f254d1864388d68bdc46faae8bc96b6582eec,71,313,465010964000000000,True,4650109640
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0xe98804a272a8bbe1e35a4fdec9c662397aa48c67341f60faa1bd5462c0158e40,18182740,2023-09-21T07:23:23.000Z,0xb1a67210ebbc75bb9f3debce86c73a718aea4a0d8184995242fe57158de7ce1e,116,680,173562035616565610,True,1735620356.165656
0xab9e8c9369b7db7b5571f6f15605ed25fb967cb5,BABYAPX,BABYAPX,,8,0xe60ffe1d7ccf277d745c944fa21b1cb17d99f028,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x0ee65f992a76786f109b487a01e70d67f0949ff660c534bb675251b114cedb00,18182428,2023-09-21T06:20:23.000Z,0x9ee7087693d6673fa581b89bb0a7be71165a5c07917857af81c1954584567397,123,510,22012751500000000,True,220127515
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x0a1e7750f71f4c404c59757d3171ab58696b1e11896496743cb9de3f650871fb,18182296,2023-09-21T05:53:35.000Z,0xf7036590bb642085741b1606d669ae4478199be4a9226933391440bb5149f763,89,456,265823647800000000,True,2658236478
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x59f6064b66ccc6977a29f32a75a27a34a832e18f7ceca70e30957d14f67033d2,18182216,2023-09-21T05:36:47.000Z,0x52f63b0947aeeb3bafced6a2388b21481b43cbe6d3f3c5371fb9a534ad831101,57,368,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0xec92602f3a968184d515fb729ab4c4f673633308d59c7aa3bf699621c417c24c,18182187,2023-09-21T05:30:59.000Z,0x15abe292d71d79d932358287d9b3d5a6e0195ff7f297c7ac2dbba13030f0fdb6,69,125,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x5d19c6d7cb64a0c7525bf1a273121505d7676dfa,,0x66df3b7843ef6e901ea26a51cc864a49bb9476327273581ae43255834005dfc4,18182170,2023-09-21T05:27:35.000Z,0x80be8298dc9264c29402df96b47492398e0637122f448adbb0864ddf7e454c4c,89,164,681680000000000000000,True,6816800000000
