address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0xc4270b2a8e2128496424a8eeaa95247b4cfb302612d13f36d641a111de041889,18184730,2023-09-21T14:04:47.000Z,0xe5db850e75ee7c84cc09ccaaf0c568ae64b214ed229f4513b9447768f7125150,104,315,681680000000000000000,True,6816800000000
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x829a9b15a5e1aa59a603d2e3c1d4a2eed0cca48da19564166ca6eda8d2c98589,18184612,2023-09-21T13:41:11.000Z,0x91fca11973706af3291b37919656f8e1aae6b15011050a8263ebbeec71f87931,186,499,1301247368464824729890876,True,1301247.3684648247
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x461e502b42524eeef352ce6edab9858c4586df49c37d996421117d399d493203,18183998,2023-09-21T11:37:35.000Z,0x9f862742d8f43bef791e58b62831b8c5637b75ffbe158418c195e8639c289b69,101,318,4902880000000000,True,49028800
0x2d61f693d4c11a5f33c3deb4eb3327b9873f7cb8,APXMAX,APXMAX,,8,0x7ff83c3814d88d1cbe9b4488b4da61669c981817,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x9ce22ec2a97cde1e022cb4e0f5ff107817349e5e66d4b784ac057d4ea9421575,18183985,2023-09-21T11:34:59.000Z,0x5722e5b9a17410706c6bed32d214c797cc8e02c606f71207ef702f943976ceaa,117,279,4902880000000000,True,49028800
0x7edebf99294085873498b84508465d116eb87127,BLUE,BLUE,,8,0x6fa2bfc2eda3747a5dbc77199dae592878e20f26,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x64ec22d3cda8d9bd4041366d3816bf2a8828e83739cac8ccec5ba10e2a40473f,18183087,2023-09-21T08:33:11.000Z,0xc9a0bc2ffcfd3c758bf2a9c7bdd31ce204d20c1ca9655c3fd5456876ebc55457,104,329,665010964000000000,True,6650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x1367358e578ab8795aa57872e4d307b8a301236d7cb012e868e8eb04e7001adf,18182846,2023-09-21T07:44:47.000Z,0x3747769d81ea23f1816a24ce4f3b001d046d5f2bfe028188f5ee952d8c257757,86,249,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x8223b7ec6184df08f57af6d84e168b221cce64a12e1f168b55e751ab3e8c32c5,18182809,2023-09-21T07:37:23.000Z,0xe0946010f0f120ad2c77b49eaa1571ed9f50968379e213b3b6657072853a3244,119,316,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x385757003f82ab0e4ce66cb554cd7e55dba080687161bbb9a28565e1278842e6,18182796,2023-09-21T07:34:47.000Z,0xfce27d0e9e547641086b2018fe1f254d1864388d68bdc46faae8bc96b6582eec,71,321,465010964000000000,True,4650109640
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0xdfef2924472a6670d52e4d8c784fc201547c853f9263ca82dd782b97534bfb03,18182765,2023-09-21T07:28:23.000Z,0xb27b35165a446948922b8f5733eb3438dab6aa7e83ca014683589eaa44a7c9e2,109,226,223898983800000000,True,2238989838
0x4fe918351479a7dd0f80737ec0f16055c2b9551e,TOMORROW,CHAPTER 4,,9,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0xcd27ffa301163953e5526885083aed14a20ad262,,0x3248215eab7629b07d5b5fddf11ea4f0fdb60212bd5ee552f355a520071d6816,18182680,2023-09-21T07:11:23.000Z,0xc6008faaf3fc1be628bde62adea61c22eb63f267c522c6db24f28e1708b96714,127,169,27295283350850190,True,27295283.35085019
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x631b7c8377a263ca01c4fa7424519e44f712f3d6de8e43b27f68df6772e03531,18182605,2023-09-21T06:55:59.000Z,0x3bac944feb5628e3839bf14beef741b93e9b3fdd188833a79bb6c82244a3a257,106,220,265823647800000000,True,2658236478
0xab9e8c9369b7db7b5571f6f15605ed25fb967cb5,BABYAPX,BABYAPX,,8,0xe60ffe1d7ccf277d745c944fa21b1cb17d99f028,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x0ee65f992a76786f109b487a01e70d67f0949ff660c534bb675251b114cedb00,18182428,2023-09-21T06:20:23.000Z,0x9ee7087693d6673fa581b89bb0a7be71165a5c07917857af81c1954584567397,123,386,22012751500000000,True,220127515
0x4fe918351479a7dd0f80737ec0f16055c2b9551e,TOMORROW,CHAPTER 4,,9,0xcd27ffa301163953e5526885083aed14a20ad262,,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,,0x7e4146f69d281c0a99e83efd080da4048296b18e2f5ea097aea1e40d71772c2c,18182365,2023-09-21T06:07:35.000Z,0xf93e11ab49103a0152aa1e5534e96c8ad1e5966b204b232b0591f00818659c5f,66,151,7295284350850190,True,7295284.35085019
