address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x829a9b15a5e1aa59a603d2e3c1d4a2eed0cca48da19564166ca6eda8d2c98589,18184612,2023-09-21T13:41:11.000Z,0x91fca11973706af3291b37919656f8e1aae6b15011050a8263ebbeec71f87931,186,537,1301247368464824729890876,True,1301247.3684648247
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x1367358e578ab8795aa57872e4d307b8a301236d7cb012e868e8eb04e7001adf,18182846,2023-09-21T07:44:47.000Z,0x3747769d81ea23f1816a24ce4f3b001d046d5f2bfe028188f5ee952d8c257757,86,279,465010964000000000,True,4650109640
0x584bc13c7d411c00c01a62e8019472de68768430,Hegic,HEGIC,https://cdn.moralis.io/eth/0x584bc13c7d411c00c01a62e8019472de68768430.png,18,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x4a3d63382d17361dba7628743220285f9c169ce4,,0x5efe0ccf87f55b14554aea415479c89790c1dc5697683168b1fa62a91fd9b900,18182587,2023-09-21T06:52:23.000Z,0x14eb9c67e3a749c673ec49d2faa55d78dd30b7c5033a6971af54a9d5fb8ee2d6,58,102,33874694968481903258372,False,33874.694968481905
0x584bc13c7d411c00c01a62e8019472de68768430,Hegic,HEGIC,https://cdn.moralis.io/eth/0x584bc13c7d411c00c01a62e8019472de68768430.png,18,0x6463bd6026a2e7bfab5851b62969a92f7cca0eb6,SushiSwap: HEGIC,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x4897a3ad646d56f60149f424b582db6a48688bbde305478ee3f12c9de9eba92b,18182553,2023-09-21T06:45:35.000Z,0x1a17e93ddefe85db4b8bae6bd221b32c43120750fc2337c4381af14ec436efa7,1,17,33874694968481903258372,False,33874.694968481905
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0xee1cfda986a682e577c159086c8fe3e25f9915628a4cda0a5bf8a2aa97679555,18182134,2023-09-21T05:20:23.000Z,0x6c25a9e157c11adc96ec4a2783c928a9755b65f46c54937861494cecaca58e08,72,266,165823647800000000,True,1658236478
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x90351609df5d78fe3b447902f6505b2cce0d59b924643a0fe83b2acadc5e8c6a,18181835,2023-09-21T04:19:47.000Z,0x3cc708c055e09de4202ea6040e8bf1bc29aee7b7abc0a16ab1f15f63337a3aed,71,351,681680000000000000000,True,6816800000000
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x20bf03780a8ec86c6fa29492973e492fe163132180cc3752a8f02fc69d1c68ed,18181497,2023-09-21T03:11:47.000Z,0xcca197c2fa56e8f88c8caa51e517c63449c757cf1ce75ed0aa288d81b2b2b5c1,24,244,53562035616565610,True,535620356.1656561
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x3e640e70a866429a7b8abb6247197a6415034f2966372c802f69795a6727a579,18181495,2023-09-21T03:11:23.000Z,0x09a799c3380f40298c6caa32a526e4561cb52062bde6ca112eefe5a838b95c7b,124,697,303562035616565610,True,3035620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0xed0e8aad8cdfb56d544297597adccfb3fc6ad417e612a0e45ed95f78d188f845,18181428,2023-09-21T02:57:59.000Z,0x39ae8f7a4808392e8a6a9bafbee11d0b3514b625b276113a53f0989a880b53f1,41,200,383562035616565610,True,3835620356.165656
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0x88d0c82fbf8ad1c4f84d610da6aa209ea882a5c7,,0x02c5fcf748343bedd8355d3cec64cc396350d5e455158c3d1ec799b9a44b9989,18181008,2023-09-21T01:33:35.000Z,0x3bde8a566d98e40d6f5206b32ea4759898969bc07123b0b4febfcde632543b63,79,307,46293300012345678,True,462933000.1234568
