address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x38e68a37e401f7271568cecaac63c6b1e19130b4,Banana,BANANA,,18,0x43de4318b6eb91a7cf37975dbb574396a7b5b5c6,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0x80e972bfa322ee29bb4c7180e6bd777e501dc53cdda67c2b9af6a0a30dcb4a87,18184618,2023-09-21T13:42:23.000Z,0x2b9ef327da8a59fbd3a23a9d94a5b9639df1c0a5612c6688144dd8aa39dfaf4a,85,247,94561242087830083029,False,94.56124208783008
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0x6a25959362d275ff1da4710a0fd0d68dbd3a607da9d636a23d1d5874b0c1dc67,18183029,2023-09-21T08:21:35.000Z,0xd87956d353ebd800679d2ca7375da327e2296e7a06f066ab21a2f038e445630c,73,458,465010964000000000,True,4650109640
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0xa2ce7f2d0e870fbbfbf0838f539b573f89d993b5095a7665875a8725c0c0d59b,18182646,2023-09-21T07:04:23.000Z,0xe3ff31588b896097b808ffc379fb8703bb9ab460458ef092044dc6577431442d,71,325,173562035616565610,True,1735620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0xa2ce7f2d0e870fbbfbf0838f539b573f89d993b5095a7665875a8725c0c0d59b,18182646,2023-09-21T07:04:23.000Z,0xe3ff31588b896097b808ffc379fb8703bb9ab460458ef092044dc6577431442d,71,299,173562035616565610,True,1735620356.165656
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0x9aeb7b929b0ad5492d5ef4c828d0950e176bb401856563f2ebdd6a8790086b42,18182244,2023-09-21T05:42:23.000Z,0x509bb53c46e7bb0a8f3400a5279f43879cb0651f0f8eaa5984cd7b62944a5e84,92,315,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0x34019fce3bfe68b099b3e42fd86c01f5122148dfe058bb31be11f3c0f65af06a,18181819,2023-09-21T04:16:35.000Z,0x274c88ebfc645992fca48faba490e425c9f38ccbdd9b58c5ae30b8ab26f6ea38,62,183,681680000000000000000,True,6816800000000
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0xa287e1b1f61db07da2db985e90050a443d60064913977dbc4778c38148f24635,18181470,2023-09-21T03:06:23.000Z,0xa2a76586a24753e91ed7fd540a88af874559742506bcbb56a78dafa68985990f,166,720,383562035616565610,True,3835620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0x422d3e8c45d0ca4686f0b8ca2f94e6712fab9e25b49fa3c2e3d525e229ff701b,18180957,2023-09-21T01:23:11.000Z,0xeadcb2b0d9918ac836e65795afc278a84c14c2bd26253976f4f997828ffb11e4,119,335,53562035616565610,True,535620356.1656561
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0x40d9638263665aa145d93827d5db40b4f9abec3ba1e37d0d994a3fc4506964bb,18180901,2023-09-21T01:11:59.000Z,0x0fc0ddd136dff8fa47cd1d5a7d3e70c92f0904d3f6c0b087b489777391916021,85,375,113562035616565610,True,1135620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x8cec52c433d065de3d1c40a63d8e54bee1469435,,0x40d9638263665aa145d93827d5db40b4f9abec3ba1e37d0d994a3fc4506964bb,18180901,2023-09-21T01:11:59.000Z,0x0fc0ddd136dff8fa47cd1d5a7d3e70c92f0904d3f6c0b087b489777391916021,85,349,113562035616565610,True,1135620356.165656
