address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x2a26d0bdab75d572e788955f020541886bc1c903,Ethgold,ETHG,,18,0xd821b90920f772df7fdae2efd5e1c2e798f0a157,,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x138f10225af5b7e542debf6e325a3c16061bbeaae7ff34552e0ffe78ed5d0f42,18185150,2023-09-21T15:29:47.000Z,0xc53632bd8fcfef57183395d14b4a7f7265a1b0fc6da12163f6f2c166469b6688,6,43,2793038464326903795691555941,True,2793038464.326904
0xd60fa7dd6ce3166dc631cdce240ac7d213b45fef,Bitgold,BTG,,9,0xf8a6b671d82a7e8a7384cedbe3b0f287741bf65e,,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x9cf43fdf4cf351b64e3da3270059f2f92688a4ed685171eec1519ae5460ff7f6,18185077,2023-09-21T15:15:11.000Z,0x2c139b1dd2c046d8d9019d0418674cac1adccae13b3253c2e1f71dbf93bdc1ac,0,2,28526474251696,True,28526.474251696
0xd60fa7dd6ce3166dc631cdce240ac7d213b45fef,Bitgold,BTG,,9,0xf8a6b671d82a7e8a7384cedbe3b0f287741bf65e,,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x9b10a55809d31880d8dfef85bde5e94bce9b15098f4c9473568edfa889ecf475,18185074,2023-09-21T15:14:35.000Z,0x9e7877bad60ff6322cbd7a5bc73282681284093bdc26345b95a176c23f29af89,13,110,59586003375192,True,59586.003375192
0xd60fa7dd6ce3166dc631cdce240ac7d213b45fef,Bitgold,BTG,,9,0xf8a6b671d82a7e8a7384cedbe3b0f287741bf65e,,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x27dbc64ce0c6ec67787e0d3867beedaec493c9cff20fd508acd5ca87142f4210,18184833,2023-09-21T14:25:47.000Z,0xd6c0e5d18c5e19de76daa48074f5919f741a828772ec7986a39b714df06bf4d2,3,38,62097356404633,True,62097.356404633
0x1164158013b4596b3e0c26d5ca05ef19577171c5,BTC3.0,BTC3.0,,9,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x644454fa3eda198ac610e6d8f2cf6b777fa945b4,,0xa83dde8131d264041acc0518ec3df308d209affb85505684e7edb316d3e24189,18184785,2023-09-21T14:16:11.000Z,0x0bfb17cd3bdc0b133082f951425272ee0e41e9cccb1c843f1e323731186962be,136,315,87598744590731,True,87598.744590731
0xf5330b716d4bb994b72d95cd01163841f83f6fef,peepee,peepee,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x9ecdae3ac44cff40c4fbe6d3af0ce9e496b4729a,,0xf0755fabb6059993c1a998404e885a8a8174cf6f49fe15a3767b16152c06d499,18184783,2023-09-21T14:15:47.000Z,0x3ee5c19d025fa1f207ed36317a7770558eaaa5d0aca1a1c368f179faaff073c4,121,295,362897856974722836836218924,True,362897856.97472286
0xc150a5841e5b0f046a46e85fb22cbd05185b20f2,Flash Analytics,FLASH,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0xfbc19388e6713b24499afddd2e6560f692604638,,0xccf10907e89956827cf1958d840a5e06c2897058035b349bf99eb505738e7987,18184781,2023-09-21T14:15:23.000Z,0xebc633b69948b99ebe44fb615c5845bd9b3b5e8d23110b7a4d8880e70bfc62b5,81,197,2421904730000000000000,False,2421.90473
0xc150a5841e5b0f046a46e85fb22cbd05185b20f2,Flash Analytics,FLASH,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0xc150a5841e5b0f046a46e85fb22cbd05185b20f2,,0xccf10907e89956827cf1958d840a5e06c2897058035b349bf99eb505738e7987,18184781,2023-09-21T14:15:23.000Z,0xebc633b69948b99ebe44fb615c5845bd9b3b5e8d23110b7a4d8880e70bfc62b5,81,196,74904270000000000000,False,74.90427000000001
0xcd39cdfd853e0c13fd040f40d67be70463207866,Turbo Pepe,TEPE,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x04c31d2c439fa00d51408a87d9a2c5f8e8f4d13e,,0x9c306584989094f3c4ccc5ad79d7b2ab1c3d2e6a81c0e733773c133021ba4ce3,18184776,2023-09-21T14:14:23.000Z,0x104d5505ca72ded482c058fb1208abcb1d82c51a410b9f9fe72930180b38a189,124,195,1654142704841306789512285327850,True,1654142704841.3066
0xd6ea1d2949b1f5e84578e3dfbe69ea0972b48e84,Simulation,SIM,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0xfca56538aae326af3ba0b0f28e9ad6c1afbfb7ec,,0x79443b92aaaaefea9a37cc255d8598e18e46bd8e76b9eafebe91c489618e6be9,18184774,2023-09-21T14:13:59.000Z,0xe0dbe04d497a1f633fa49c895f8e4086eb5fc5e48494881face93153c5a23f94,79,168,99074503916048576409546,True,99074.50391604858
0x6293bbe52c3682057163172850002f18f993da6a,TruthGPT,$TRUTH,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x46bfddd8d416a28ab2bfde6d7946475a8d094df8,,0x7addab62cbf54327a3f518b6ba2471c518338c7bde9f7a0a25c1520cb483fe54,18184773,2023-09-21T14:13:47.000Z,0x6f287a59b7474362ab6299048aba204645d8ad74b691879d12066ced23124299,153,395,94120778720246147589071,False,94120.77872024615
0x6293bbe52c3682057163172850002f18f993da6a,TruthGPT,$TRUTH,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x6293bbe52c3682057163172850002f18f993da6a,,0x7addab62cbf54327a3f518b6ba2471c518338c7bde9f7a0a25c1520cb483fe54,18184773,2023-09-21T14:13:47.000Z,0x6f287a59b7474362ab6299048aba204645d8ad74b691879d12066ced23124299,153,394,4953725195802428820475,False,4953.725195802429
0x52774eb286e0b7f3d9562c2689f522bb26b15b37,1Pepe,1Pepe,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0xcef73c682a5354699f15b77160b44fef3529f065,,0x9af9d944e3c8052a6a17da7e8c7a69f48d4997215b05b89c4597e641bfe66147,18184772,2023-09-21T14:13:23.000Z,0x429ea157dc9f9af85a410219a02ddc69993d33bb6c51d227919979cd71e55ecd,103,213,5546237253999938,True,0.005546237253999938
0x4968402deda962c8b7312a7a97fd32fd322345ca,HarryPotterObamaSonic10Inu,BITCOIN2.0,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x4968402deda962c8b7312a7a97fd32fd322345ca,,0xec01b118abe3f719797e4ded976d8055fde9f4e590c69b1d01d67c4b3dd610e6,18184770,2023-09-21T14:12:59.000Z,0xb0f0a2664b0f5ad55b25a7340eb45730983ab8f251156a93dd31cf3310716e15,88,209,61817393087445368149869,True,61817.393087445365
0x4968402deda962c8b7312a7a97fd32fd322345ca,HarryPotterObamaSonic10Inu,BITCOIN2.0,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0xad95ec7363b9c11fc74400caac7736212eb7552c,,0xec01b118abe3f719797e4ded976d8055fde9f4e590c69b1d01d67c4b3dd610e6,18184770,2023-09-21T14:12:59.000Z,0xb0f0a2664b0f5ad55b25a7340eb45730983ab8f251156a93dd31cf3310716e15,88,208,3029052261284823039343629,True,3029052.261284823
0x27bcfc2c049224383275ea1d226190a004737e86,Text2VidAI,T2V,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x48051c11c60497431291bea0092d80616d0af62a,,0xa8b75991c80aadaf2f39f796b8a97c2813a4e972e9cfb1c98601c0caee2b5346,18184768,2023-09-21T14:12:35.000Z,0xf0a7f67d25df469b6ada87a89d16311b6dfbf628977f29dee037339036076bcd,95,199,185121870617050015309402,True,185121.87061705004
0x27bcfc2c049224383275ea1d226190a004737e86,Text2VidAI,T2V,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x27bcfc2c049224383275ea1d226190a004737e86,,0xa8b75991c80aadaf2f39f796b8a97c2813a4e972e9cfb1c98601c0caee2b5346,18184768,2023-09-21T14:12:35.000Z,0xf0a7f67d25df469b6ada87a89d16311b6dfbf628977f29dee037339036076bcd,95,198,7713411275710417304558,True,7713.411275710418
0xf77e4132a7b3a849849461fa84f2f1362a18bcf3,OpenPoolV2,POOL,,18,0x901da172c257ba6a52a17a8aae2b03277a470163,,0x7a772a0ce0075a1515edba95651d8e3720166ee4,,0x0c4272cf1473b552618a9d31b60b615c3f4b3dca2c7c7fa7ae0db6d38ab2a6a3,18184766,2023-09-21T14:12:11.000Z,0x891e0d83ce0bd2bfab3cfd35307d8156347f8a2e91e5827142c019c5b85252e3,110,241,609750826211935335877405,True,609750.8262119354
