address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xddd01d6320de864934f61de0eb8e9236a60f633db0db6558ffdd08ba8ae36abc,18182837,2023-09-21T07:42:59.000Z,0x751ce600eeba4229c78d171010d440a97134aba9c0339ed1342d736c24bf14be,104,244,465010964000000000,True,4650109640
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xeba45e345e0cd5710bf41bdf166cd8f8c33f7a868c6eeacdf611d471b7aad384,18182125,2023-09-21T05:18:35.000Z,0xdb70b62dc2800f747c59018d713d0476fdfb4f350e597c856e056654ce0b67bd,73,280,165823647800000000,True,1658236478
0x24d541c86dd44bc6ce0a0511cf3146c37388ec4c,Pineapple Owl,PINEOWL,,9,0x9c415c5672b2e494cdf5a3b5e6cd48f8a196276e,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x7ac7481062c5379843d063fd58744aab1544cd0a2b1781c668d14dc79f11d63b,18182079,2023-09-21T05:09:11.000Z,0x7b144b4d1482f530714e769fb1bcfeac9d19e8d9ad6a6e4a8f06b809a1c587ac,10,58,724099941578585,True,724099.941578585
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x7c1a106daaf2a1d224f74ee22d3d8e1f17523b68fbdf49be120b9e86dd5bcc79,18181895,2023-09-21T04:31:47.000Z,0x44d819e063e8b737f2723d5591a46f07fbdacbd1ed88d3ad905c5b68b2968479,37,594,253562035616565610,True,2535620356.165656
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xa3dd84e6b362735be0206d3c370faf94fe4fef8d0e5842c059ab6393b597b50c,18181834,2023-09-21T04:19:35.000Z,0xff909b002faf61928e5b51679306db3a0437f0391c66bebacdaf3c3988b9fb1f,52,176,681680000000000000000,True,6816800000000
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x790a1ee53f09c0c6ae0d23d3a9535e1705ad8d7a122c2661bd2d3f1091674040,18181574,2023-09-21T03:27:23.000Z,0xc5b592fe9bcf56814fea0027c95e35073715d6a82429eac3c8255cd54d1a36b6,107,497,253562035616565610,True,2535620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xe4298c6db5f975346100b0a4141ed391c4b194ab5acf8ab3958a1a96d1b27972,18181443,2023-09-21T03:00:59.000Z,0xbb3d9a401fc5058bc5fc7f061db5fd3d7776d2909a3690b1ee9c99035b5b6477,145,309,383562035616565610,True,3835620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xe423ad39c7f9660529d7cb3d40fd798956b7f768119a672837451f98cdb240b9,18181436,2023-09-21T02:59:35.000Z,0x703b9b5f0d3980f0de7b7ea59c066a8d6d481d3ab18f8faf85db99b923673e24,102,282,383562035616565610,True,3835620356.165656
0x7f93f9e42b8f8fd9e061475f67521726788f3f07,Yobama,Yobama,,18,0xe74711ab2f922758a02c6345333d8852636a6fe6,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x0da112287e4ef57a5591642c143c9a4301ffce3623c2f9ab781e52dc088d8917,18181083,2023-09-21T01:48:35.000Z,0xfdb39c90017df0d9269d32ac672b119e5c6cb3f3e64954287c220a38e637879f,23,93,45310676002645426653906022,True,45310676.00264543
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x51dd309f57d04b382a727aef65c362f1728c0ac1c636bfc8ab0518042fa60f6c,18181034,2023-09-21T01:38:47.000Z,0x69696252736f4a24247e4054ff8e9af3b3c1c77f3fe1751cc8060b3e9a975d52,105,431,53562035616565610,True,535620356.1656561
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x2361c912bd6d0d758dfbde35648466c37e4bf6fe4494f1b6ecc1b543df7d1dbc,18181017,2023-09-21T01:35:23.000Z,0xc90009d3fd74c5ed1c93c950dc8b1877e1b0f67b1cfcc62ef71c2a38883b48e2,103,310,46293300012345678,True,462933000.1234568
0x69168908793294d0a9ea938673e12c36ecae6969,NICE,6969,,9,0xd7b82a6bfea7989720deb7d72e226fa45029c22b,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x764c4beba276358995b3697fba30822e01bc0855c400b3e824e30fbfa19f2327,18180293,2023-09-20T23:10:23.000Z,0xf7186d0ccc9f809185b0c8adbf7cd56f5786ee2140941a525063c8c002344c04,18,117,994474393565480724406,True,994474393565.4807
0x648bc2845e28091298360319d249cce7f8452b43,KUWIK,KUWIK,,8,0x64fe733745345747c7b815e387925deee76ba611,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x25b608e24d8486d585c938e1ab7d9557a4cfc0d406b5e76932badcd6a744905f,18177484,2023-09-20T13:45:23.000Z,0x8b120210caf1d2057a9d7c1247ac88a75a4fdea1094c35a1d2986343881d0279,150,318,65782431900000000,True,657824319
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x948dfa1e5ed319a6841e0e24ce2a90c4e07d5c9fad96b269e4bf3f64906c26ec,18175401,2023-09-20T06:45:47.000Z,0xffe9936070095a625a24f6f07020b5da159de5c4cb02dc26733056ef12bbdbff,122,456,383562035616565610,True,3835620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xef8f7ee4c97158bc8fffeef84aab6b2e24c439775f66c7dc6bf98b92b72c5ec2,18175374,2023-09-20T06:39:59.000Z,0xc088216b1f43294e6726f23c5a6c563001dece669be9aea70156b1c2a56d858d,95,222,383562035616565610,True,3835620356.165656
0xab9e8c9369b7db7b5571f6f15605ed25fb967cb5,BABYAPX,BABYAPX,,8,0xe60ffe1d7ccf277d745c944fa21b1cb17d99f028,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x1143aa1d7b07fdae1d48cefb4478ed404fbb09c8d88652abe10e6bc6a6af3738,18175341,2023-09-20T06:32:59.000Z,0x346c5e0b3c5b0d0798ae90c10a397c1933d9a44a9301c3c0ffe61ad45a5c6cf2,120,355,17007188865600000,True,170071888.656
0xff65a381801fbb2b51e573a4941e2ceef5cabd4b,KITTEN,KITTEN,,8,0x3ffc4a75fb117c6230703c24a9fb95cb274d370b,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x49eb91ebe2a24086b2e263c11b14de71adb95842878df8b98d4a3eb36bd7be64,18175036,2023-09-20T05:31:11.000Z,0x23278b268629782c8992c7c7e3101e70c186f04bc30924cf54804203957d199d,97,228,261765814300000000,True,2617658143
0x1dcda16d81b6c35d3114200f49db62451d017f80,Spiral Coin,SPIRAL,,8,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x0a16d323baaf3e0be8d9ccc6f01fc90c5105ea54,,0x6eeb68b3ace2b0b87abb7370a7725f7525c40ad18c55faca22ee21f337f3c3ad,18174732,2023-09-20T04:30:11.000Z,0x12d2a0ec2af657566fc7703b6310e975549fa209c36e84e6841e82fad76d7505,34,161,53711346719728639,True,537113467.1972864
0xfe58335ea6b4a3f89d9ab7aae1e22386c277134d,DOBOT,DOBOT,,8,0xcf706029c7af07d5830b8d71ddfd5bca4d40c3fe,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x7268c29e5e2dc160941a51d5ad75ef93a7df2479aa34b14b822cd0be93003413,18174677,2023-09-20T04:19:11.000Z,0xd80f06451e802c4a95fe6f8bde3700de97f5f840c3aba0b5c07c3ac61a0d85ae,138,300,243562035616565610,True,2435620356.165656
0x9eae3cd21302a9808be0769c28fce659209e17f2,KIDRT,KIDRT,,8,0xc82c764497ea0828e20735899784b03b3ac875f4,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xb93204cd62d528992b09162ef51961d7bf19c71409e1a25d141ee893f933b394,18174673,2023-09-20T04:18:23.000Z,0xc5b02389d734e65191fc649a2bdd06ab4a523f213c13b6e32f970c1dd0635ced,141,274,98751087500000000,True,987510875
0x648bc2845e28091298360319d249cce7f8452b43,KUWIK,KUWIK,,8,0x64fe733745345747c7b815e387925deee76ba611,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xe202b1c1ae21919613bc7592ba867252296d5613f23bdf82dd548ad97a9e1203,18174644,2023-09-20T04:12:35.000Z,0x132dad5afede438800c66734aae97603f2d841c5274482123d8160989490ae7b,126,291,68751087500000000,True,687510875
0xbcc65392024eaf8d6f9160ef4efa7cec79506362,POPO,POPO,,8,0xe9ab596ed362fd12c536a50e25d8d07debd30c4c,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x289f9862e718f28a78e1e60b2e1ccff066d574f9a250d7f27dcddcd84b2f9ce1,18174595,2023-09-20T04:02:47.000Z,0xfa019ec91cd6162b7aac4f9ace9e228f9e33bf69e82fc5d9419d5ddc490b97f9,166,2052,163562035616565613,True,1635620356.165656
0x4aef24298f41a66ffebd5f4c22ca682a3ac766b0,RainBoom,RAB,,8,0xb2f7c78954324b397562d7c51197196972601a31,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xc303d1b457cc1eef94c5ded9fc8b066de617bc9db2eca907b82a900f0f72db22,18174505,2023-09-20T03:44:35.000Z,0x61461132da26bb79feb13ff7f5e1e72a37a98a4c1a60cb29f8b76738ceec630a,67,190,183562035616565610,True,1835620356.165656
0x7edebf99294085873498b84508465d116eb87127,BLUE,BLUE,,8,0x6fa2bfc2eda3747a5dbc77199dae592878e20f26,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x80922f3c7677484800a73087463c5db5d3e033a0cb720ce7320c94aa02ee0656,18173975,2023-09-20T01:57:35.000Z,0xd59774b2084b84fde150c169b1472451f356eb1e2560688351bc8944f70944a7,34,172,133233081600000000,True,1332330816
0x35392649ab9eb3a5d78f4b16272a4824e6bf2796,BABOON,BABOON,,8,0x05ed64f152c7a792a7fc6c30a861885c9f8faab5,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x7e40abeccae89499862ed683b3e818ccb11e44754bbb2d9a3f9d84a96ae064fe,18173786,2023-09-20T01:19:23.000Z,0x7779fc39a71b5ba6ff9fbf1bbdf90f312fb727bd3f1f072b1084d51f0ab1296d,30,191,28718722100000000,True,287187221
0x1dcda16d81b6c35d3114200f49db62451d017f80,Spiral Coin,SPIRAL,,8,0x0a16d323baaf3e0be8d9ccc6f01fc90c5105ea54,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x499e5f9fe11b3ddec07912fdc5566cc101b19b5114598be0432bac4cae6a0d1e,18171922,2023-09-19T19:04:35.000Z,0xd5be5f0588c31f13caa7170c7e1291af075c1c23b7813a114d13632079ec22cc,24,140,53711346719728641,True,537113467.1972864
0x648bc2845e28091298360319d249cce7f8452b43,KUWIK,KUWIK,,8,0x64fe733745345747c7b815e387925deee76ba611,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x3d911efc2abcb91f07f20acb853b789d99160d284d8ee8d39439632248e1c1e7,18169355,2023-09-19T10:26:35.000Z,0xb7f1e51414492c7ad5740581fb7eee63793f0c2da80f32b021c000cc8d4634d2,76,176,235311842600000000,True,2353118426
0x2c8e8bb7f79eee27e26b8dfd810d34ec89eb7122,CHICKEN,CHICKEN,,8,0x818e852af89ee1ffd3be762be7c1b11636defb62,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x3cd034fce8e0f213073c72543b38987c30d8126698aa99b7c5357c796665dfc4,18167882,2023-09-19T05:29:35.000Z,0xe3f4223691a67eb3a9f2a2c818114590c40c7bf5c1907f28e9b2d7a68a217a3a,64,142,19522509900000000,True,195225099
0x93c1fdcbb769b7a8453b01ce65eb5a2eb10f9756,Anything,Anything,,8,0x0863f815462db6066fd8a48ebe5c501037426bb7,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x7150bf5a71b821e0dc94e3604511976602f8c34408c5074a1efe1717e354f785,18167446,2023-09-19T04:01:11.000Z,0xecdb5b5c1f57072ab9c59d8d17e1531bf98405a4470d9b55f5606deff79499ee,81,128,7356203561656561,True,73562035.61656561
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x989a254367395b4b4a6b4490cd740012182569848f86b3773c591f62953c70ac,18165783,2023-09-18T22:25:35.000Z,0x8e7926f2b3959308514eacce05fd1a4dbf2387cdd1eec6e294c964c4e126426b,97,291,2396166647364729130846482,True,2396166.647364729
0x24d541c86dd44bc6ce0a0511cf3146c37388ec4c,Pineapple Owl,PINEOWL,,9,0x9c415c5672b2e494cdf5a3b5e6cd48f8a196276e,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x8ae46bd43bafb0f3b78cc9fa3b5e225caa97eee36ace4233d59bb82fda03ff94,18161421,2023-09-18T07:42:35.000Z,0x6be845f6298f9a387f50dd72ee9fcfb956a8bdeb404b3a2a86604bb898d1aefb,107,322,1393932828299757,True,1393932.828299757
0x24d541c86dd44bc6ce0a0511cf3146c37388ec4c,Pineapple Owl,PINEOWL,,9,0x9c415c5672b2e494cdf5a3b5e6cd48f8a196276e,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xbff94d45dd13dd47486f3147acd0d5f2f9192da495d9a1a13e047a132c00e4d9,18161151,2023-09-18T06:48:11.000Z,0xd2a1b31e56f2fa07f5f8e1632b588a0e10fbdb739908786aa581af5ad4780e24,10,62,1233427432834757,True,1233427.432834757
0x24d541c86dd44bc6ce0a0511cf3146c37388ec4c,Pineapple Owl,PINEOWL,,9,0x9c415c5672b2e494cdf5a3b5e6cd48f8a196276e,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x9e8df5a9b1180b2e7605926d1ed4b6fdb9116ae441c567267de6afbf51fb4eb8,18161124,2023-09-18T06:42:47.000Z,0x2af0330adef7fde40e32f7c55937bc56e9ad094cf1dfada8c88101dc366d4503,113,181,1374785548424169,True,1374785.548424169
0x24d541c86dd44bc6ce0a0511cf3146c37388ec4c,Pineapple Owl,PINEOWL,,9,0x9c415c5672b2e494cdf5a3b5e6cd48f8a196276e,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0x82226a74579a02142f2bdcdf8940b7c005035a4c7296e38a0a65f05b2c313218,18160588,2023-09-18T04:53:47.000Z,0x9e3a29a74815eb18c230b15ad218885fad3c95fabc0b45df79918b2740fdfc8e,24,198,1085046027151722,True,1085046.027151722
0xef2f3acde1cb21914eb59b6349a0907c60a311a0,KIUHHA,KIUHHA,,8,0x9e53c0dee08a8e876c1f64fdfd47660ebcc557cb,,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xb4ab230f8e7eb4dabd444669a255b1610143a99dff14f2d6dc1ca2b82c447c7c,18160414,2023-09-18T04:18:23.000Z,0xd1d0acbf7200df2f0f473a3cae3b8144ef9558d2a4d578cae17ad22b4b7f1aee,34,320,74467644445656656,True,744676444.4565666
0x7550d0c958451cd7efd136e590cb433e7863a7b3,Iggy The Iguana,IGGY,,9,0x99fba4de1aa39ad8a1472276a0c334fbe0b53505,,0xa1ef2bed254ec694090fa8d3d837ab4eb39ad07d,,0x221ea70d4add5db9261406ce89e8c1f905970414a6b7f8cf9c307aee733b30e9,18160375,2023-09-18T04:10:35.000Z,0xc05cfd15dc1543b8dd64fa1eb9a9c91d484a32f4b1e21854b8c513adab7164ed,9,57,625368977956305,True,625368.977956305
