address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x089453742936dd35134383aee9d78bee63a69b01,GOLD,GOLD,,18,0x0a86421ee3a48fa6a2e1b7775860b39d96e1453a,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0x7c7e457f7a85c7b3dc9610860f2db30e42e8dbaceecd8d50008d6e87bcf07c1c,18182850,2023-09-21T07:45:35.000Z,0x116a1d2b60d61b86c4a8d5aee215865132fec1c5da1ce0a5d0327e29225455b3,63,101,3031304033699817350119,True,3031.3040336998174
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0xddd01d6320de864934f61de0eb8e9236a60f633db0db6558ffdd08ba8ae36abc,18182837,2023-09-21T07:42:59.000Z,0x751ce600eeba4229c78d171010d440a97134aba9c0339ed1342d736c24bf14be,104,404,465010964000000000,True,4650109640
0x089453742936dd35134383aee9d78bee63a69b01,GOLD,GOLD,,18,0x0a86421ee3a48fa6a2e1b7775860b39d96e1453a,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0x65d6c8bf285ecc0890d70c9b73527f471dc27619f1eacb50ecdbed3238a654e1,18182762,2023-09-21T07:27:47.000Z,0x4cb8b1bc1cbb3ac2c21f1830e84cc554dcadffb7c58ad52a66d7c6cf477a69eb,82,164,3000138763939785677983,True,3000.138763939786
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0xeba45e345e0cd5710bf41bdf166cd8f8c33f7a868c6eeacdf611d471b7aad384,18182125,2023-09-21T05:18:35.000Z,0xdb70b62dc2800f747c59018d713d0476fdfb4f350e597c856e056654ce0b67bd,73,440,165823647800000000,True,1658236478
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0x7c1a106daaf2a1d224f74ee22d3d8e1f17523b68fbdf49be120b9e86dd5bcc79,18181895,2023-09-21T04:31:47.000Z,0x44d819e063e8b737f2723d5591a46f07fbdacbd1ed88d3ad905c5b68b2968479,37,754,253562035616565610,True,2535620356.165656
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0xa3dd84e6b362735be0206d3c370faf94fe4fef8d0e5842c059ab6393b597b50c,18181834,2023-09-21T04:19:35.000Z,0xff909b002faf61928e5b51679306db3a0437f0391c66bebacdaf3c3988b9fb1f,52,336,681680000000000000000,True,6816800000000
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0x790a1ee53f09c0c6ae0d23d3a9535e1705ad8d7a122c2661bd2d3f1091674040,18181574,2023-09-21T03:27:23.000Z,0xc5b592fe9bcf56814fea0027c95e35073715d6a82429eac3c8255cd54d1a36b6,107,657,253562035616565610,True,2535620356.165656
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0x2361c912bd6d0d758dfbde35648466c37e4bf6fe4494f1b6ecc1b543df7d1dbc,18181017,2023-09-21T01:35:23.000Z,0xc90009d3fd74c5ed1c93c950dc8b1877e1b0f67b1cfcc62ef71c2a38883b48e2,103,470,46293300012345678,True,462933000.1234568
0x4a500ed6add5994569e66426588168705fcc9767,BitBoy Fund,BITBOY,,18,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0xa802e152244c6ec47f9a0337f4e62e47b6d6a2d0,,0x95a40cb85b2c85a0798d292bd98df13ac92a48a35d3692b5b7669bdd0a50dc8e,18179295,2023-09-20T19:49:11.000Z,0xf1b1968f76816fe976561a5dcf01eb062635302fdc8ae8b3563d07ecd36a5a7a,19,57,1456128956961445757961174,True,1456128.9569614457
0x4a500ed6add5994569e66426588168705fcc9767,BitBoy Fund,BITBOY,,18,0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,,0x4a500ed6add5994569e66426588168705fcc9767,,0x95a40cb85b2c85a0798d292bd98df13ac92a48a35d3692b5b7669bdd0a50dc8e,18179295,2023-09-20T19:49:11.000Z,0xf1b1968f76816fe976561a5dcf01eb062635302fdc8ae8b3563d07ecd36a5a7a,19,56,45034916194683889421479,True,45034.91619468389
