address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x1fbf9d0043f33c165fa5dc6b9f1b076567b5424e837aa642492a49349622063e,18184591,2023-09-21T13:36:59.000Z,0x2c6d69aabbd8fa9c8ee21a6a71f48f023eaf0b17c4e0ada2bdc62ebf8f3c2b12,95,309,1289087647368464824729130,True,1289087.6473684649
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xe288227b9b1383184787b434f39d78fded78a3a0be996d258a24140f98a9d4ff,18182960,2023-09-21T08:07:47.000Z,0xe18c3d3dc5bbd7b60d234d67a26a3f29e6f59bd188f7500be856cb4625f5061b,46,264,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x08980472ab0e3918c2ddce570aa8ed989a566046c6358980e6eaab6c1cddf2df,18182924,2023-09-21T08:00:35.000Z,0xc1f56336b6d3acbd81015d81b9511ca26e682533be9ce9aa57fa4a204835331a,41,115,465010964000000000,True,4650109640
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xddd01d6320de864934f61de0eb8e9236a60f633db0db6558ffdd08ba8ae36abc,18182837,2023-09-21T07:42:59.000Z,0x751ce600eeba4229c78d171010d440a97134aba9c0339ed1342d736c24bf14be,104,308,465010964000000000,True,4650109640
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xf745b19e86b1265d75d4b4ccb86131c6768a42a879fb5935fbef9a5ddb088f6e,18182448,2023-09-21T06:24:23.000Z,0x5c1c23abdc8d3602090ad7b4d248a1223a2c3ac5a48b3ff3131a93e2c6b0f482,138,413,265823647800000000,True,2658236478
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x0a29b7c962eef68dc474a26c88ca038b2042240113f4d4b759f3d1c05bd277e4,18182306,2023-09-21T05:55:35.000Z,0xcd6f8318ee1d5db8dfacabcc1ac12fa1bf62c96764e37446c61b6b278f0bc0ed,102,317,265823647800000000,True,2658236478
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x947525fdedea35eb2b8e94d74724b6812b723c67848437ee035f790df1d873d7,18182277,2023-09-21T05:49:35.000Z,0xd15deeb185b20b5d146b42143103edd6dea6e7ffb8ad5ed2a77b16a8565c5d31,72,171,265823647800000000,True,2658236478
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x59f6064b66ccc6977a29f32a75a27a34a832e18f7ceca70e30957d14f67033d2,18182216,2023-09-21T05:36:47.000Z,0x52f63b0947aeeb3bafced6a2388b21481b43cbe6d3f3c5371fb9a534ad831101,57,280,681680000000000000000,True,6816800000000
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xeba45e345e0cd5710bf41bdf166cd8f8c33f7a868c6eeacdf611d471b7aad384,18182125,2023-09-21T05:18:35.000Z,0xdb70b62dc2800f747c59018d713d0476fdfb4f350e597c856e056654ce0b67bd,73,344,165823647800000000,True,1658236478
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x7c1a106daaf2a1d224f74ee22d3d8e1f17523b68fbdf49be120b9e86dd5bcc79,18181895,2023-09-21T04:31:47.000Z,0x44d819e063e8b737f2723d5591a46f07fbdacbd1ed88d3ad905c5b68b2968479,37,658,253562035616565610,True,2535620356.165656
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x28cca0a319a172d3dfe319d4e862b9fd9a10286acd6d94322cfb0febf432b71a,18181858,2023-09-21T04:24:23.000Z,0xe31f48b8240d0a16cb4e031dc8011c63b10be4477e2fe4f0b7ee86e92558c306,63,196,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x49bd49d55a1a56b44bfcb799853630b00e6a853ab9ace6e160da2b92964bdffa,18181855,2023-09-21T04:23:47.000Z,0x65cc9991e8db2da437109182beb5e5ccbac1706fd074726b847ace3ff90e29c7,14,87,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xa3dd84e6b362735be0206d3c370faf94fe4fef8d0e5842c059ab6393b597b50c,18181834,2023-09-21T04:19:35.000Z,0xff909b002faf61928e5b51679306db3a0437f0391c66bebacdaf3c3988b9fb1f,52,240,681680000000000000000,True,6816800000000
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x790a1ee53f09c0c6ae0d23d3a9535e1705ad8d7a122c2661bd2d3f1091674040,18181574,2023-09-21T03:27:23.000Z,0xc5b592fe9bcf56814fea0027c95e35073715d6a82429eac3c8255cd54d1a36b6,107,561,253562035616565610,True,2535620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x20bf03780a8ec86c6fa29492973e492fe163132180cc3752a8f02fc69d1c68ed,18181497,2023-09-21T03:11:47.000Z,0xcca197c2fa56e8f88c8caa51e517c63449c757cf1ce75ed0aa288d81b2b2b5c1,24,274,53562035616565610,True,535620356.1656561
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x3e640e70a866429a7b8abb6247197a6415034f2966372c802f69795a6727a579,18181495,2023-09-21T03:11:23.000Z,0x09a799c3380f40298c6caa32a526e4561cb52062bde6ca112eefe5a838b95c7b,124,727,303562035616565610,True,3035620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xdf12c028885c5f4e37a23eab74487cdfca7cd3ce3a3072cc83ab9d509958a81f,18181469,2023-09-21T03:06:11.000Z,0x49db5089fa61ca6346cf73494bc32eeb4f27965ccf82d47ee86746209aadee74,80,250,383562035616565610,True,3835620356.165656
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xed0e8aad8cdfb56d544297597adccfb3fc6ad417e612a0e45ed95f78d188f845,18181428,2023-09-21T02:57:59.000Z,0x39ae8f7a4808392e8a6a9bafbee11d0b3514b625b276113a53f0989a880b53f1,41,236,383562035616565610,True,3835620356.165656
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x96392170e88977de29521b427a7647bef1627024,,0x608db966e339c601cf4bcfc5e35d5ac01e46be7e971f9f5a8f5a4556e430b5b9,18181022,2023-09-21T01:36:23.000Z,0x6fc2aa74c9bc6a045ffde3bb90f9b19f35880b083ed0674a3a599e8262a0a299,22,115,89160460000000000000000000,True,89160460
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,,0x608db966e339c601cf4bcfc5e35d5ac01e46be7e971f9f5a8f5a4556e430b5b9,18181022,2023-09-21T01:36:23.000Z,0x6fc2aa74c9bc6a045ffde3bb90f9b19f35880b083ed0674a3a599e8262a0a299,22,114,2757540000000000000000000,True,2757540
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x2361c912bd6d0d758dfbde35648466c37e4bf6fe4494f1b6ecc1b543df7d1dbc,18181017,2023-09-21T01:35:23.000Z,0xc90009d3fd74c5ed1c93c950dc8b1877e1b0f67b1cfcc62ef71c2a38883b48e2,103,374,46293300012345678,True,462933000.1234568
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xa7755791f79782553f6e964714c6bac19bcb181b1770d15fc0eb0cd2813d48a5,18180904,2023-09-21T01:12:35.000Z,0xec2517f39243f8fca7b05a36838d03cdae2e82496185c194e3e89557b38287b8,94,385,46293300012345678,True,462933000.1234568
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x4ab1ebac2b04fd8defb4207e453de983b97de8098c30ae02e8ff1ba83dc9a92c,18180847,2023-09-21T01:01:11.000Z,0xf27c4f03f81b21946b6c0d4fd1bbf2004b0a361a0bb2550f94d74e28b16965f8,56,355,46293300012345678,True,462933000.1234568
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x96392170e88977de29521b427a7647bef1627024,,0x3618595a1b9a57f4757a1377b3ef79f041ee048063a766890f512e4f13f998d6,18180775,2023-09-21T00:46:47.000Z,0xc61b8cf7405daf5477849de15da1b964b2e6027a2c0359cba7c1b5eff5670590,20,75,138683810000000000000000000,True,138683810
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,,0x3618595a1b9a57f4757a1377b3ef79f041ee048063a766890f512e4f13f998d6,18180775,2023-09-21T00:46:47.000Z,0xc61b8cf7405daf5477849de15da1b964b2e6027a2c0359cba7c1b5eff5670590,20,74,4289190000000000000000000,True,4289190
0xff65a381801fbb2b51e573a4941e2ceef5cabd4b,KITTEN,KITTEN,,8,0x3ffc4a75fb117c6230703c24a9fb95cb274d370b,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x6a7980b4e3f14b9bcd05053c568b8353054ae9d185112727562f686fe682a209,18180027,2023-09-20T22:16:47.000Z,0xf5557e6abb9c8aa7bc7bbacb1a321ba7ad3c3d2fae9d5ae6f90621da47cc46cd,71,369,261765814300000000,True,2617658143
0xff836a5821e69066c87e268bc51b849fab94240c,Real Smurf Cat,шайлушай,,18,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xfd79505aa075007ef1f1165c4de3562bb48b9bd2,,0xa0cc1e7077b13b19d19a81f8538963a51b805110a6f5adc4ed0c0bd2962d4a96,18179838,2023-09-20T21:38:35.000Z,0xe68f9729c35b1d5c3ecf8e9e8b86a0f3ba60c0f323959a6e9b3bd14090b98caf,95,269,90675271334363685314974507,False,90675271.33436368
0xff836a5821e69066c87e268bc51b849fab94240c,Real Smurf Cat,шайлушай,,18,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x977c5fcf7a552d38adcde4f41025956855497c6d,,0xa0cc1e7077b13b19d19a81f8538963a51b805110a6f5adc4ed0c0bd2962d4a96,18179838,2023-09-20T21:38:35.000Z,0xe68f9729c35b1d5c3ecf8e9e8b86a0f3ba60c0f323959a6e9b3bd14090b98caf,95,263,272025814003091055944923523,False,272025814.00309104
0x648bc2845e28091298360319d249cce7f8452b43,KUWIK,KUWIK,,8,0x64fe733745345747c7b815e387925deee76ba611,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x25b608e24d8486d585c938e1ab7d9557a4cfc0d406b5e76932badcd6a744905f,18177484,2023-09-20T13:45:23.000Z,0x8b120210caf1d2057a9d7c1247ac88a75a4fdea1094c35a1d2986343881d0279,150,382,65782431900000000,True,657824319
0x8cd10de826f9c614a26c3db6c7aea3f8b818a237,PEPEP,PEPEP,,18,0x1d61f69203718e0db52b951a494513d0f01e5d50,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x88703a64b40507b64b650812789a27b97f821a5e14c37a19a8b4eb2c2e57ab0d,18175883,2023-09-20T08:23:11.000Z,0x48589a0b1553ac624ff82e86fb78fccc699bf27edb44547b155dec49aae2a971,93,126,12219484362543576586961136123904,True,12219484362543.576
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0xa7e705d9b667c7dacaf5e7255fdadaa5cbeb90f21112ce502b4d9dfc28dd12b5,18175831,2023-09-20T08:12:47.000Z,0xddd4683ea95d76cde75b7f566c677e42f7cf25f8667feba419e5db744e2c2a43,70,131,253562035616565610,True,2535620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x28f7cc0cf2736c713026448b63b8808cacb607cde10d3aad3fd3dc5162dbfa36,18175457,2023-09-20T06:56:59.000Z,0xf8cd197ae90afd602b63d70ca23f918f875f7d3a0e08e1de9a7e1e90c422eacf,141,276,353562035616565610,True,3535620356.165656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,,0x948dfa1e5ed319a6841e0e24ce2a90c4e07d5c9fad96b269e4bf3f64906c26ec,18175401,2023-09-20T06:45:47.000Z,0xffe9936070095a625a24f6f07020b5da159de5c4cb02dc26733056ef12bbdbff,122,520,383562035616565610,True,3835620356.165656
