address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x42631bedd82715850806d338a229721d4e5d0946,ETH...,ETH,,18,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0xff7afc72d3e1167f324683affd4536811e78d8ee,,0x6887a5961071e0f8f0e13a3b3115b55bd4e0b36372dd6702177dee464a2f2d7b,18183810,2023-09-21T10:59:35.000Z,0x61e26a9e10fd9a5621cf836babb9459ef2c6b0a807ac2b716a9ff2daf8840c49,35,87,317038400000000000,True,0.3170384
0xabd0061755a180052703f72f06cef8c2eb1384b6,Bahamas Network,BN,,9,0x0efa36501402af964ebd7e8f6aa05e3e2bd67c0b,,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0x43d97b46bd3937a4f5bafc4fcbb2b899f50d6212aa5ca3c869a64b655dbc8bcc,18179332,2023-09-20T19:56:35.000Z,0x12af94bd02db6d9d5758b0848df1d44c4d6e6b82148b36bddecf61bcbead7e02,0,3,157091751290552,False,157091.751290552
0x0533704ea1f7f45f77ddfce61af1de7598a373ff,Neuralink,NEURALINK,,18,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0xb329c9f9e5b0075fe7a133d44dee52ccbb5a3465,,0x5649aa08807a91ba40753a5e98a3779b3cae8fa350e821764785b6a447b30ad8,18178920,2023-09-20T18:33:23.000Z,0x4a041293b1621a867395fa7aa5304cb55ab2fdd3b294654f4c9a05f9d12a0651,0,2,23260674817023241699638880,True,23260674.817023244
0x0533704ea1f7f45f77ddfce61af1de7598a373ff,Neuralink,NEURALINK,,18,0xb329c9f9e5b0075fe7a133d44dee52ccbb5a3465,,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0xa454a19c11f176a3f2f6d31924503aa3cc56bfec0cd1b6f2291d516009d1c72a,18178865,2023-09-20T18:22:23.000Z,0x89fd71020cc376985b4530ab4a2d277ddb7b1db34a1a3f6cfd33a86f68aa3d21,4,34,23260675817023241699638880,True,23260675.81702324
0xed4e879087ebd0e8a77d66870012b5e0dffd0fa4,AstroPepeX,APX,,18,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0x2dc9050d9873f50526e467e983d435e6d8d9afb0,,0x6e23880f8f86b8a5f5cab9b05e0b2589749ee557f6e07c49981291df4517190f,18173097,2023-09-19T23:00:35.000Z,0x872caa4c41887eea47326fae750ea958b67775ab55e4fd45977351a94bb10357,9,68,100000000000000000000000000,False,100000000
0xed4e879087ebd0e8a77d66870012b5e0dffd0fa4,AstroPepeX,APX,,18,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0x2dc9050d9873f50526e467e983d435e6d8d9afb0,,0x5f150b7d323b6cbf156d0a7a8f47969aa2f097aa95ce8d816b89b3fe682e8a8a,18173086,2023-09-19T22:58:23.000Z,0xe02bb0ac485e4eeb7e2f69a72cc9646c4b096acec1715c7f0c4df413983c7992,1,6,182425434341063605309220669,False,182425434.3410636
0xed4e879087ebd0e8a77d66870012b5e0dffd0fa4,AstroPepeX,APX,,18,0x2dc9050d9873f50526e467e983d435e6d8d9afb0,,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0xb066cd954b919ba133ef3a263b48b298b065efc90e98ae0afa6e8c113f3b3443,18172999,2023-09-19T22:40:59.000Z,0x1ee9ac79b34ef386b8c6916c83938974a23028103f8a565e0b1ae00bf2d595b9,3,15,282425434341063605309220669,False,282425434.3410636
0xf16e81dce15b08f326220742020379b855b87df9,IceToken,ICE,https://cdn.moralis.io/eth/0xf16e81dce15b08f326220742020379b855b87df9.png,18,0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0x3666a9caa8a4ed645a7b2b92fabcdf0dc5282c3d263a447efd5a7b0b4cf99787,18172498,2023-09-19T20:59:59.000Z,0xdaa803f8e826a8e1bd48647071a69c3b8db6327add3484012eb94ef10361433b,107,312,13653580753386592859504,False,13653.580753386592
0xf9a449382b54edc12fab88b54c13c296249b41ae, ?StalloneSchwarzeneggerVanDammeChuckNorrisStevenSeagalJackieChan,CASH,,18,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0xe0ad3b86897c65b5666bc0bb1781b475c2276c02,,0xcf7005b163462c0c858c15b5d9a28bba5c78bd1a821bac735478d894cb094a84,18171129,2023-09-19T16:24:35.000Z,0x84efe1ffadd43b593a761a0d97c431156c63bf654ca1c0db7f668ff02cb98e46,0,1,3000000000000000000000000,True,3000000
0x09488cca9df55833c577e261ee565124750a1dc3,TET TOKEN,UTO,,6,0xa295efd1a64f22bdbf4d8436fb063a5b9f7352d5,,0xdbd4b065c41b176fd740558b60d4ed096ce5d605,,0x80d09da28cadd16732ff3a3b49c3b42ee3dcf2bcbee39de287804f8f53bcfb93,18170672,2023-09-19T14:52:23.000Z,0xea052cbc29318a4d39a0db082315accb781af17e1ad504cba1bacb781ea2e8ea,182,1402,8154000000,True,8154
