address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x90aa1ad729e6062ce4b7e5700c494fc06f91c21c,Dgdbuz,Dgdbuz,,8,0xc7fec22dc7c7baae11dd375692acb98144c21154,,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x4e663cafd99ad88cf2dc3ad564778dc3ea50d759d0d189cd1713e63dbbc0f9b8,18185135,2023-09-21T15:26:47.000Z,0x1b14a92e4f150ca69b90d3d08b9edd6edf3c0404c7eb9da5eb2998ee572d13f8,105,500,72310600000000000,True,723106000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x1e5e6730bf3d6a4b5d2cbd8d302d9cd0f98d1bfd84139e5f625cbd00dadd6f3e,18183909,2023-09-21T11:19:35.000Z,0xf352cbe213f4e2611b4d7f6f4585111669595200f47368d4471197eebf97baf6,71,408,681680000000000000000,True,6816800000000
0x3a529b7e76be590587d6ede2eed8c9099fe6e663,NOT FINE,NOTFINE,,18,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x2f0e555b08b3da0d62726a90eb545bba300d971b,,0x6bd6f30556a7f25eea7b958910febfc454c7e3fa63499d4c80d59b5a5a63e587,18183789,2023-09-21T10:55:23.000Z,0xd579cdae4053e116cf943c158b4dc06595f3169823ddbbfec57adc1e3229f8f4,6,19,4728933762189844368158258162,True,4728933762.189844
0x3a529b7e76be590587d6ede2eed8c9099fe6e663,NOT FINE,NOTFINE,,18,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x3a529b7e76be590587d6ede2eed8c9099fe6e663,,0x6bd6f30556a7f25eea7b958910febfc454c7e3fa63499d4c80d59b5a5a63e587,18183789,2023-09-21T10:55:23.000Z,0xd579cdae4053e116cf943c158b4dc06595f3169823ddbbfec57adc1e3229f8f4,6,18,96508852289588660574658329,True,96508852.28958866
0xf51092fe93b4e9282f42c459f05d93d2d079549e,RociFi,ROCI,,18,0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x52520767e58790f07e68e8d913256dc3f0b537e3444cb1b83d69188056e462cf,18183187,2023-09-21T08:53:23.000Z,0x35df324169ddaf58c2d0421fb7547e2220d36af21c64571895a9a063abc131a2,168,227,120833291598602233768346,True,120833.29159860224
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,,0x52520767e58790f07e68e8d913256dc3f0b537e3444cb1b83d69188056e462cf,18183187,2023-09-21T08:53:23.000Z,0x35df324169ddaf58c2d0421fb7547e2220d36af21c64571895a9a063abc131a2,168,222,1215647263,False,1215.647263
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,https://cdn.moralis.io/eth/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,18,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,0x3402b0c34eed738f1fe1f440b9c5bdcfbcb8f70e95a002150e50b3b0a3785c0e,18183179,2023-09-21T08:51:47.000Z,0xfe03613f73985f9cddbbd437315786007bcde2afaa2e59d808a3773810d8ac48,4,35,750000000000000000,False,0.75
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x3402b0c34eed738f1fe1f440b9c5bdcfbcb8f70e95a002150e50b3b0a3785c0e,18183179,2023-09-21T08:51:47.000Z,0xfe03613f73985f9cddbbd437315786007bcde2afaa2e59d808a3773810d8ac48,4,34,1215647263,False,1215.647263
0xf51092fe93b4e9282f42c459f05d93d2d079549e,RociFi,ROCI,,18,0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer: Vault,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xb4da2b5c11efbbaad135690808b8a6730149696cc3206f4f24e2d61a34c83189,18183131,2023-09-21T08:42:11.000Z,0x1526f7f8d209100da4f13dcd53d141fac23ed51e936ee832e8023078b68d0efc,140,326,202953691443011301806148,True,202953.69144301128
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer: Vault,0xb4da2b5c11efbbaad135690808b8a6730149696cc3206f4f24e2d61a34c83189,18183131,2023-09-21T08:42:11.000Z,0x1526f7f8d209100da4f13dcd53d141fac23ed51e936ee832e8023078b68d0efc,140,325,2024175698,False,2024.175698
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x22211483ee46694af0a591f3d0a4c217ee9b11e0c9cea60cdc1d61d0d5a5bde0,18183129,2023-09-21T08:41:47.000Z,0x4b32615b747c815e21faaedb05a611964533d588dd08ec0bac9da4ae0920532f,46,250,2024175698,False,2024.175698
0x3a529b7e76be590587d6ede2eed8c9099fe6e663,NOT FINE,NOTFINE,,18,0x2f0e555b08b3da0d62726a90eb545bba300d971b,,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0x57ad440946f35ecc42805c9e30f5e5be7b671ae5c2d3659be3192917f866d96d,18183094,2023-09-21T08:34:35.000Z,0xf7a4989f151182d1c772b156fe46e241c2f3db525f4b4a7d0ffb855678f54c48,3,14,4825442614479433028732916491,True,4825442614.479433
0xf51092fe93b4e9282f42c459f05d93d2d079549e,RociFi,ROCI,,18,0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer: Vault,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xd712342edb3e4c42604e230adf4e11a9ef1a49c5c8a01d6e1a9cafd073f11346,18183048,2023-09-21T08:25:23.000Z,0x5bb11137fff5e18058a71c698c93d87dc5cfb7c74f4458e1c391f0b1f03608f8,93,70,421397591768380506641279,True,421397.5917683805
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer: Vault,0xd712342edb3e4c42604e230adf4e11a9ef1a49c5c8a01d6e1a9cafd073f11346,18183048,2023-09-21T08:25:23.000Z,0x5bb11137fff5e18058a71c698c93d87dc5cfb7c74f4458e1c391f0b1f03608f8,93,69,4047994408,False,4047.994408
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xf9ab6e4f6a39ae50d82927ea28558406e3e92169ca3f8d1af67a09094345dd99,18183039,2023-09-21T08:23:35.000Z,0x50b41217683cb6b772109e60ab0080920640c8ba7b99a102b519c0b327960da5,103,125,4047994408,False,4047.994408
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xbb49cbf2163194370805dd0fe9b0a3a2b56c0d6fe8f3705665066e7fbd9e3117,18182891,2023-09-21T07:53:47.000Z,0x94ad50ff4cb56c6855bf31009bb5452c9b48eceb736234255058bf5e5ca36d86,30,308,465010964000000000,True,4650109640
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xe98804a272a8bbe1e35a4fdec9c662397aa48c67341f60faa1bd5462c0158e40,18182740,2023-09-21T07:23:23.000Z,0xb1a67210ebbc75bb9f3debce86c73a718aea4a0d8184995242fe57158de7ce1e,116,678,173562035616565610,True,1735620356.165656
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0xaff9c638dcb4d2b351b052d4ae42a9083ed98789,,0xb24c60fc19ac9875f6d2c21ac67dc822e385b8d5939b8cc2175c97b931e0eccb,18182382,2023-09-21T06:11:11.000Z,0xabc156a5799a383ef5d8e4b15bc7469d7c2c340cf4358a8357f36034f55f6c69,93,252,265823647800000000,True,2658236478
