address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,0x5f150ea261daa3a67a55f49976a75728fa4e701746df3b90e5215019e27dc676,18091392,2023-09-08T11:26:47.000Z,0x635d303e995ed4650a1a45e3fd315438bd22e68adbe79b3072f5489c985b8e78,48,152,233281937201,False,233281.937201
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Protocol: GPv2Settlement,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x27d5deac83f28820bc2924c8af1581035d418ef30424b1f60509f54fc9c1ba8e,18091384,2023-09-08T11:25:11.000Z,0xaf42d0a8ab9417ba2c426369ffed59c1e51243ec91f18dafd0781085af915955,7,80,233281937196,False,233281.937196
0x865377367054516e17014ccded1e7d814edc9ce4,Dola USD Stablecoin,DOLA,,18,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Protocol: GPv2Settlement,0x27d5deac83f28820bc2924c8af1581035d418ef30424b1f60509f54fc9c1ba8e,18091384,2023-09-08T11:25:11.000Z,0xaf42d0a8ab9417ba2c426369ffed59c1e51243ec91f18dafd0781085af915955,7,66,234192844655541680836020,False,234192.84465554167
0x865377367054516e17014ccded1e7d814edc9ce4,Dola USD Stablecoin,DOLA,,18,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0xf6db40e51b8b94b2b765471f2e2e269c5ec46b47288960690367c6702c959637,18091361,2023-09-08T11:20:35.000Z,0x20581e4b995f86259fad4bd9c30056cb2507046923af380dcf5f4c4a16bee01a,126,248,234192844655541680836020,False,234192.84465554167
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x3154cf16ccdb4c6d922629664174b904d80f2c35,,0x61c517c4a4eb55f263879dea58524751a83d8f39f10165f0a4909204605f9499,18058707,2023-09-03T21:40:47.000Z,0xfe9202e342c84edc54e5538cd416965b437fee8bb063cbb1e0f3f2198fd692a2,37,103,65719655680,False,65719.65568
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xbdd5d655ad781fb9929bfe515eb4a50090444c21,,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x076faacbac26a2bfba55e5e8eb9dd05924254815e38c281d59000e3402f2e410,18058698,2023-09-03T21:38:59.000Z,0x133f41ec28c9fe23b0015ef9600f92649d0f4c217b6436c6721bce0c2f9cb15d,112,368,1022991248,False,1022.991248
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Protocol: GPv2Settlement,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x70b87d43d35b632f8898138325db1ad314e9c481aad2f8ed2292c96d4f2be997,18058694,2023-09-03T21:38:11.000Z,0x89954f67a9aaf9123513856a1abebaef3f40369c78608937961f76e3c675e80f,10,57,64696664437,False,64696.664437
0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,https://cdn.moralis.io/eth/0x6b175474e89094c44da98b954eedeac495271d0f.png,18,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Protocol: GPv2Settlement,0x70b87d43d35b632f8898138325db1ad314e9c481aad2f8ed2292c96d4f2be997,18058694,2023-09-03T21:38:11.000Z,0x89954f67a9aaf9123513856a1abebaef3f40369c78608937961f76e3c675e80f,10,45,64700133399678579247458,False,64700.13339967858
0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,https://cdn.moralis.io/eth/0x6b175474e89094c44da98b954eedeac495271d0f.png,18,0x24946bcbbd028d5abb62ad9b635eb1b1a67af668,,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x290bc0dd9cef38af6729dd920aaaf7bbd07d316ba8eb9421c611a6435968de23,18058686,2023-09-03T21:36:35.000Z,0x947d9de41edf81f706949eee622294e1a08f0f465808e405ef66b9283e6a7af7,46,116,64700133399678579247458,False,64700.13339967858
0xb780431035cd5f0547c8fd753d750f1fe1c38ac3,USᎠ Ꮯoin,USᎠC,,6,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x03315ebdff5800878cdf5cb08d3989f2e2624c6d,,0x1a229d6d1d43ecdf012cfae8d0524c5bbb52c482717edce6da89502ae4640dd4,18057475,2023-09-03T17:32:35.000Z,0x47ce25275732ca2395bf82d6c6d5d37ad4079d681660a5e3b2391184ef687ce5,92,268,117783747008,True,117783.747008
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x033113e56e378877edba2d13a19d3418aa154c6d,,0x2f984557de17c6bfe44ff298c4e76d6c580f8110bbfb35ada6da0ca89287b66a,18057157,2023-09-03T16:28:11.000Z,0x1d6dec136ca690c747cf20e323a6b6b008a81ac556999d29af38df304891d5db,13,104,0,False,0
0x95f2f9fea4e6acb0935b7830e399210469bd5880,UЅD Cоin,UЅDС,,15,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x033113e56e378877edba2d13a19d3418aa154c6d,,0x2f984557de17c6bfe44ff298c4e76d6c580f8110bbfb35ada6da0ca89287b66a,18057157,2023-09-03T16:28:11.000Z,0x1d6dec136ca690c747cf20e323a6b6b008a81ac556999d29af38df304891d5db,13,103,117783747008000000000,True,117783.747008
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x03310baf844bfe66aadd339c73f9229f35aa4c6d,,0xc39027f8c897fd15ca5475837dba0144b3a9a4f326c30149041f6a1450bbd1b3,18057141,2023-09-03T16:24:59.000Z,0xa15edcee919309d2f7a2a99511a57f6d82c43749ab0695c04ccbe56e3c962857,135,313,117783747008,False,117783.747008
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x51c72848c68a965f66fa7a88855f9f7784502a7f,,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0xcdd3a6554a6262159323208c82cba9cc1faffd2dfad4f186f27b517c6a1a2c51,18057136,2023-09-03T16:23:59.000Z,0x46549c4872de2cd9e1f9942c363ae6f8e3f3ea38c3a83f48f7b0b16dc7032e80,103,341,117783747008,False,117783.747008
0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,https://cdn.moralis.io/eth/0x6b175474e89094c44da98b954eedeac495271d0f.png,18,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x51c72848c68a965f66fa7a88855f9f7784502a7f,,0xcdd3a6554a6262159323208c82cba9cc1faffd2dfad4f186f27b517c6a1a2c51,18057136,2023-09-03T16:23:59.000Z,0x46549c4872de2cd9e1f9942c363ae6f8e3f3ea38c3a83f48f7b0b16dc7032e80,103,339,117787136364977188416122,False,117787.1363649772
0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,https://cdn.moralis.io/eth/0x6b175474e89094c44da98b954eedeac495271d0f.png,18,0x467194771dae2967aef3ecbedd3bf9a310c76c65,Optimism: L1 Escrow,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x717bc89afb6c92ff7ae741fd672fc608d1a5a012f2e96591dff39172e35bc7f4,18056805,2023-09-03T15:17:35.000Z,0x04c7059a1df227df294cce640dbb125d55736dd07d5997685dca28fb81afd419,110,316,117787136364977188416122,False,117787.1363649772
0xf5e6c233771efffe6d9743500200847027c69ca7,avETH.tech, )Visit https://avETH.tech to claim rewards,,0,0x96d618adc74b18e26968a2aa8ad1ec3f95940d64,,0xceea299d63fdd2d05b4406918a1bdeb429a24316,,0x4db112929c49294dcf6cbb91d04d0c106a52daf2b2000d3f853df89e5f124ffa,17986029,2023-08-24T17:24:11.000Z,0xc0c1cb645c875cf739804f3975163a56bad99a742bbf9476086f7bae303a4ad8,137,452,1287,True,1287
