address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x5eefd21f0d81124dd5f2a9bab66f37075fadc8ee,Apollo IX,APX,,8,0x008bd48046f65e22168738f8ebb930d38d1e1659,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x3b5edc0d3b7b616cc17cf0d27b22173d0dcf3d18b4b67c5af8a44d4fff24e037,18183805,2023-09-21T10:58:35.000Z,0xd7753c51003f76f4739207d4ea7900be83a000227c5d2422cdbd5693166421e4,71,258,173562035616565610,True,1735620356.165656
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x6adc2e002019495fe0b2d7147e675fec493fc9bf84c08406e6e465d7e8e29a4c,18183109,2023-09-21T08:37:35.000Z,0x3ad01a74b751433146507ee4af5e938c2796d18164383cc38ee90615dea056c5,96,208,465010964000000000,True,4650109640
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0xdf6a9437846297352defcad0790e6ceda23884cc62d775000a6dae42848e7263,18182231,2023-09-21T05:39:47.000Z,0xc0eb275caf6129f9dad6dcf51bb440f871c61c8e9b1554c5e20b428fcac4272c,61,183,681680000000000000000,True,6816800000000
0x4aef24298f41a66ffebd5f4c22ca682a3ac766b0,RainBoom,RAB,,8,0xb2f7c78954324b397562d7c51197196972601a31,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x0dced44c8fc23e3c44dafd2c9145436743d8dd8f0ea6ae33c118f435f2420847,18174531,2023-09-20T03:49:47.000Z,0xeac13c9d57909e440b08e7357fd633d6592e6824e5caa47a572b29e48421c90b,78,290,183562035616565610,True,1835620356.165656
0xf16e81dce15b08f326220742020379b855b87df9,IceToken,ICE,https://cdn.moralis.io/eth/0xf16e81dce15b08f326220742020379b855b87df9.png,18,0x94b86ca6f7a495930fe7f552eb9e4cbb5ef2b736,SushiSwap: ICE,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x8592eaa570c5cc4513c44064a5acbc2f417cde90191841660c428fa64646f0ee,18172818,2023-09-19T22:04:35.000Z,0xcbb695087e1cc9d089a9b7c3bbb3b1a3fdfd95619bf67b9b820dbdb24d2e2702,1,13,2541857728952097760881,False,2541.8577289520977
0xf16e81dce15b08f326220742020379b855b87df9,IceToken,ICE,https://cdn.moralis.io/eth/0xf16e81dce15b08f326220742020379b855b87df9.png,18,0x0efea698136d636e2babad10821e9064fe08f418,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x8592eaa570c5cc4513c44064a5acbc2f417cde90191841660c428fa64646f0ee,18172818,2023-09-19T22:04:35.000Z,0xcbb695087e1cc9d089a9b7c3bbb3b1a3fdfd95619bf67b9b820dbdb24d2e2702,1,9,809927176012409255595,False,809.9271760124092
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://cdn.moralis.io/eth/0xdac17f958d2ee523a2206206994597c13d831ec7.png,6,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x5550d13389bb70f45fcef58f19f6b6e87f6e747d,,0x8592eaa570c5cc4513c44064a5acbc2f417cde90191841660c428fa64646f0ee,18172818,2023-09-19T22:04:35.000Z,0xcbb695087e1cc9d089a9b7c3bbb3b1a3fdfd95619bf67b9b820dbdb24d2e2702,1,4,5001000100,False,5001.0001
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://cdn.moralis.io/eth/0xdac17f958d2ee523a2206206994597c13d831ec7.png,6,0x09b8b2a769a5327a998445e631971e55f8735c4d,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x99db68714cdda3d766106da37ccb67103a46fbd8b3ffbcab2d19c9d9bc992c69,18172747,2023-09-19T21:50:11.000Z,0x0e8d5e0e68ba22ad1a05d2c2ddeb08163b065014489a817e0db280a1b5ce0945,125,302,5000000000,False,5000
0x648bc2845e28091298360319d249cce7f8452b43,KUWIK,KUWIK,,8,0x64fe733745345747c7b815e387925deee76ba611,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0x00d9152c168f73e216ec1035f68265c7c34d5975c8eb1ef6cde6e492bd622783,18172684,2023-09-19T21:37:35.000Z,0xc7ba24f100f008a936a893a7c317cf8e3372aefaa4f6b51ba8c8a0de0cb3c4ba,113,335,100372380200000000,True,1003723802
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://cdn.moralis.io/eth/0xdac17f958d2ee523a2206206994597c13d831ec7.png,6,0x09b83acca803146fe6e4b74f49410872cd735c4d,,0xd66164c4b658f3704b5caa67b33f07f3842ee063,,0xc181f58390d983fa7a8d1f1cf18984d497cd3bfef4178ae8937c22d359259ab1,18172451,2023-09-19T20:50:35.000Z,0x1966f5ce2682413606f35c3682bb939c6ebc5789418126a54a13af2edac61435,20,59,1000100,False,1.0001
