address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,Rollbit Coin,RLB,,18,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x2322e5517a3cbc75a3f02d74c96f82dda120d841,,0x76f008f4e23c6ffd1aa135fb3d5f9948478a2934c40fceea76e191ef85bd3f7f,18174592,2023-09-20T04:01:59.000Z,0x0ba0a720a5183287ad05100dc8a351bb1a89d49e2e3d4065af62489664f5b058,130,370,5000000000000000000000,False,5000
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x2322e5517a3cbc75a3f02d74c96f82dda120d841,,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x76f008f4e23c6ffd1aa135fb3d5f9948478a2934c40fceea76e191ef85bd3f7f,18174592,2023-09-20T04:01:59.000Z,0x0ba0a720a5183287ad05100dc8a351bb1a89d49e2e3d4065af62489664f5b058,130,369,604321009,False,604.321009
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,Rollbit Coin,RLB,,18,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x2322e5517a3cbc75a3f02d74c96f82dda120d841,,0xb7da065bc734cafcccaa3d8046a5296d68c8e7ccbd714a830a401d5668991574,18173706,2023-09-20T01:03:23.000Z,0x43fadf152e5a60280edda62b5efef2d9ec3b34d09ffacf8b2d0b4a438c6fda83,106,276,5000000000000000000000,False,5000
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x2322e5517a3cbc75a3f02d74c96f82dda120d841,,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0xb7da065bc734cafcccaa3d8046a5296d68c8e7ccbd714a830a401d5668991574,18173706,2023-09-20T01:03:23.000Z,0x43fadf152e5a60280edda62b5efef2d9ec3b34d09ffacf8b2d0b4a438c6fda83,106,275,561410818,False,561.410818
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x911e8c85610ef4e41bdb9ad47ade6169dbb28e7a56f3576126ddeb98eda6b431,18173431,2023-09-20T00:07:59.000Z,0x03e93286ddbb37b6b6421a7cece7f8ac0f4d4af62ca782e409eb7da0ce4ff4dd,119,255,2366576490,False,2366.57649
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,Rollbit Coin,RLB,,18,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x510100d5143e011db24e2aa38abe85d73d5b2177,,0x911e8c85610ef4e41bdb9ad47ade6169dbb28e7a56f3576126ddeb98eda6b431,18173431,2023-09-20T00:07:59.000Z,0x03e93286ddbb37b6b6421a7cece7f8ac0f4d4af62ca782e409eb7da0ce4ff4dd,119,253,20000000000000000000000,False,20000
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,0xa6980818779af0607ff8376e1432fd6351299f2465d3463c83c7a3ae1d72e271,18160863,2023-09-18T05:49:35.000Z,0x40b10f3d58796706205ea50a559f3e6d24d446365bbd058c69b340acaabdc510,6,54,2497208891,False,2497.208891
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,Rollbit Coin,RLB,,18,0x510100d5143e011db24e2aa38abe85d73d5b2177,,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0xa6980818779af0607ff8376e1432fd6351299f2465d3463c83c7a3ae1d72e271,18160863,2023-09-18T05:49:35.000Z,0x40b10f3d58796706205ea50a559f3e6d24d446365bbd058c69b340acaabdc510,6,52,20000000000000000000000,False,20000
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x2322e5517a3cbc75a3f02d74c96f82dda120d841,,0xe39f792866639c502e7e4afdcae351d76ea6d4f604288cb586334b746276f0db,18160827,2023-09-18T05:42:23.000Z,0xf8fd22305a994b6a870a65fe11ff252e10e7755445a2fce2761c26fc106dd106,58,236,1240125152,False,1240.125152
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,Rollbit Coin,RLB,,18,0x2322e5517a3cbc75a3f02d74c96f82dda120d841,,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0xe39f792866639c502e7e4afdcae351d76ea6d4f604288cb586334b746276f0db,18160827,2023-09-18T05:42:23.000Z,0xf8fd22305a994b6a870a65fe11ff252e10e7755445a2fce2761c26fc106dd106,58,235,10000000000000000000000,False,10000
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://cdn.moralis.io/eth/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,6,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0xb121c02718dcbdcdba7d69c384db68f303b269fc4d7ae7b38eab85580351c53c,18160594,2023-09-18T04:55:11.000Z,0xf04be56fcedb4c5d8f55cf403943fc4b7adfd58b6da197def4866a739f58cf57,15,83,193696753,False,193.696753
0x571e21a545842c6ce596663cda5caa8196ac1c7a,Champignons of Arborethia,CHAMPZ,,8,0xe71bbf6c20d700f6fbfd1c14d33b3563e2835afd,,0x571e21a545842c6ce596663cda5caa8196ac1c7a,,0xb121c02718dcbdcdba7d69c384db68f303b269fc4d7ae7b38eab85580351c53c,18160594,2023-09-18T04:55:11.000Z,0xf04be56fcedb4c5d8f55cf403943fc4b7adfd58b6da197def4866a739f58cf57,15,78,500000000000,False,5000
