address,token_name,token_symbol,token_logo,token_decimals,from_address,from_address_label,to_address,to_address_label,block_hash,block_number,block_timestamp,transaction_hash,transaction_index,log_index,value,possible_spam,value_decimal
0x003f410709f77b9078ce2d2468868ee5b1bd6848,GemForge,GEMFORGE,,18,0x55b18d1b1146d7ae9c77958ee96d9df6fb1fb978,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x1fbf9d0043f33c165fa5dc6b9f1b076567b5424e837aa642492a49349622063e,18184591,2023-09-21T13:36:59.000Z,0x2c6d69aabbd8fa9c8ee21a6a71f48f023eaf0b17c4e0ada2bdc62ebf8f3c2b12,95,327,1289087647368464824729130,True,1289087.6473684649
0x0e8b7f213b28a244d2cfe20e00cf36728199e9cc,PEPEAPX,PEPEAPX,,8,0x221d4a60b912d70ee27722f4ab8ef6b95f67fdc3,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x08980472ab0e3918c2ddce570aa8ed989a566046c6358980e6eaab6c1cddf2df,18182924,2023-09-21T08:00:35.000Z,0xc1f56336b6d3acbd81015d81b9511ca26e682533be9ce9aa57fa4a204835331a,41,133,465010964000000000,True,4650109640
0xf415f4473ae033e308258d2f734dd3fb9c8bb771,POPED,POPED,,8,0xc602635e09dc4e084699e1a5d46c782460578754,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x947525fdedea35eb2b8e94d74724b6812b723c67848437ee035f790df1d873d7,18182277,2023-09-21T05:49:35.000Z,0xd15deeb185b20b5d146b42143103edd6dea6e7ffb8ad5ed2a77b16a8565c5d31,72,189,265823647800000000,True,2658236478
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x59f6064b66ccc6977a29f32a75a27a34a832e18f7ceca70e30957d14f67033d2,18182216,2023-09-21T05:36:47.000Z,0x52f63b0947aeeb3bafced6a2388b21481b43cbe6d3f3c5371fb9a534ad831101,57,294,681680000000000000000,True,6816800000000
0x2e8c6df2bb3a7c7da9cac8f950d8d8171326e701,SGFDG,SGFDG,,8,0x5ac80642e6b9afb680c70560fbe4629dab12bc63,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x49bd49d55a1a56b44bfcb799853630b00e6a853ab9ace6e160da2b92964bdffa,18181855,2023-09-21T04:23:47.000Z,0x65cc9991e8db2da437109182beb5e5ccbac1706fd074726b847ace3ff90e29c7,14,105,681680000000000000000,True,6816800000000
0x2872446965c086622dafb2f3ffea7245001f3ad1,𝐔𝐒𝐃 𝐂𝐨𝐢𝐧,𝐔𝐒𝐃𝐂,,18,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x3bc058bf3fda0d64d3dfd1ab56fc3d05f9090a06,,0x6b5ca56647e98fde91a3a2f23ed8dc4598009afb4acb9bb103275955346969e1,18181309,2023-09-21T02:34:11.000Z,0x87140b86d2d04cdbce77c9f275b721841522dd182e984ab173c45d08666f1757,74,342,545000000000000000000000,True,545000
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x96392170e88977de29521b427a7647bef1627024,,0x338a9dd57cdaa4bda182bdb304856946d0d70e7834d2dc3b1040faf06d8fdad5,18180968,2023-09-21T01:25:35.000Z,0xa55acd83cd9a56cfca6d60370bb95acc2b75de7eb1da3666aba23c1fbe104346,27,195,91581774000000000000000000,True,91581774
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,,0x338a9dd57cdaa4bda182bdb304856946d0d70e7834d2dc3b1040faf06d8fdad5,18180968,2023-09-21T01:25:35.000Z,0xa55acd83cd9a56cfca6d60370bb95acc2b75de7eb1da3666aba23c1fbe104346,27,194,2832426000000000000000000,True,2832426
0x6cb854f90be787e4459be5d485452987f14aeb6b,CLAM,CLAM,,8,0xcc82423b64631657696b1e93091324bf900dfb2e,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0xa7755791f79782553f6e964714c6bac19bcb181b1770d15fc0eb0cd2813d48a5,18180904,2023-09-21T01:12:35.000Z,0xec2517f39243f8fca7b05a36838d03cdae2e82496185c194e3e89557b38287b8,94,403,46293300012345678,True,462933000.1234568
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x96392170e88977de29521b427a7647bef1627024,,0x8094c69978d541ef9d2004cff871a07d7976ccd827235f881e873de6eb736de0,18180721,2023-09-21T00:35:59.000Z,0x0aa436585d6d89dad5baee66040fcf5510531e19306a89a29a8c85fed3b19eff,142,312,138683810000000000000000000,True,138683810
0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,SHOCKY,SHOCK,,18,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0xacbdb5c9500da95ed77a8a6b9232f57aed18143d,,0x8094c69978d541ef9d2004cff871a07d7976ccd827235f881e873de6eb736de0,18180721,2023-09-21T00:35:59.000Z,0x0aa436585d6d89dad5baee66040fcf5510531e19306a89a29a8c85fed3b19eff,142,311,4289190000000000000000000,True,4289190
0xff65a381801fbb2b51e573a4941e2ceef5cabd4b,KITTEN,KITTEN,,8,0x3ffc4a75fb117c6230703c24a9fb95cb274d370b,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x6a7980b4e3f14b9bcd05053c568b8353054ae9d185112727562f686fe682a209,18180027,2023-09-20T22:16:47.000Z,0xf5557e6abb9c8aa7bc7bbacb1a321ba7ad3c3d2fae9d5ae6f90621da47cc46cd,71,387,261765814300000000,True,2617658143
0xab9e8c9369b7db7b5571f6f15605ed25fb967cb5,BABYAPX,BABYAPX,,8,0xe60ffe1d7ccf277d745c944fa21b1cb17d99f028,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x99c3e546eb4a1a9e7a23e28b4c870b3143f710c219dede9465b798728b7a90be,18175370,2023-09-20T06:39:11.000Z,0xc1affd2cd4df1033690f12c6be92ba3a7c4692fe19859bf6788e9fd080718620,98,341,17007188865600000,True,170071888.656
0x71af63438451b2d90011745f1e974a61f367c300,HarryPotterObamaPacMan8Inu,KURA,,8,0xa3d9530c99c9b649ad72e82aa80980392bc03c13,,0xed6a768fb6e7f10079e1b5a465ba7ea6920a8726,,0x3d8d7ac79b689a6387d47b728c073febb5cb998039dd82325953d7b5163ab52f,18175365,2023-09-20T06:38:11.000Z,0x629dc462982c3a9f8c4291954e6865d795a0619ba87b9328fcb53de344241167,40,129,383562035616565610,True,3835620356.165656
